scenario,t,unit,b,p_ch,p_dis,p_net,q_mvar,s_apparent,s_rated,s_utilization,poly_margin,poly_binding,loss_pcs_mw,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess,p_slack_ess_qzero,v_lindistflow,mu_penalty_active
summer,17,0,15,0.0,0.011011159896465639,0.011011159896465639,0.17525835668816267,0.1756039214576394,0.17564044194719533,0.9997920724341669,-1.6379127748988864e-05,True,0.004114819039029347,0.21736384414787557,0.5283086349280508,8.3999,143.23,8.617543845835959,8.60592768257596,8.605611338008158,,
summer,18,0,15,0.0,1.0110784435513632e-15,1.0110784435513632e-15,0.17558754232988916,0.17558754232988916,0.17564044194719533,0.9996988186961971,1.2490009027033011e-15,True,0.004389688558247208,0.20575119681233375,0.5000837850879495,8.38565,141.5,8.602527556482379,8.603142286496066,8.60252755648245,,
summer,19,0,15,0.0,3.9494910758193583e-16,3.9494910758193583e-16,0.1755875423298891,0.1755875423298891,0.17564044194719533,0.9996988186961968,1.304512053934559e-15,True,0.004389688558247222,0.20574545107992062,0.5000698199316939,8.337200000000001,140.33,8.551483062848575,8.55212667870468,8.551483062848574,,
summer,20,0,15,0.0,2.9645274742210577e-16,2.9645274742210577e-16,0.17558754232988905,0.17558754232988905,0.17564044194719533,0.9996988186961965,1.3600232051658168e-15,True,0.004389688558247222,0.20573970550796136,0.5000558551654257,8.27735,140.02,8.488451308767335,8.489130530196714,8.488451308767344,,
summer,21,0,15,-0.0,0.0,0.0,0.17558754232988893,0.17558754232988893,0.17564044194719533,0.9996988186961958,1.4710455076283324e-15,True,0.004389688558247227,0.20573396009645095,0.5000418907891327,8.0541,137.43,8.253558437481066,8.254369727946365,8.253558437481043,,
summer,22,0,15,-0.0,0.0,0.0,0.17558754232988869,0.17558754232988869,0.17564044194719533,0.9996988186961944,1.7208456881689926e-15,True,0.004389688558247221,0.2057282148453853,0.5000279268028051,7.6817,135.17,7.862523853537317,7.8635528631087555,7.86252385353724,,
summer,23,0,15,2.794028246307129e-16,0.0,-2.794028246307129e-16,0.1755875423298885,0.1755875423298885,0.17564044194719533,0.9996988186961933,1.915134717478395e-15,True,0.004389688558247209,0.2057224697547596,0.500013963206431,7.3454,133.37,7.5102334521833525,7.511456349025725,7.510233452183458,,
winter,0,0,15,0.0,0.1568863110199167,0.1568863110199167,0.07896993264506902,0.17564044194719158,0.17564044194719533,0.9999999999999787,-5.289961730117754e-05,True,0.0004688532731818723,0.20571672482456954,0.5,7.35015,151.61,7.515203801605535,7.346297053611123,7.347492142874332,,
winter,1,0,15,0.0,1.8887804306923495e-15,1.8887804306923495e-15,0.17558754232987703,0.17558754232987703,0.17564044194719533,0.9996988186961281,1.3378187446733136e-14,True,0.004389688558246882,0.040341199281206115,0.09805036346852244,6.85615,143.16,6.999124229734558,7.000624678129068,6.999124230008753,,
winter,2,0,15,7.911873421605693e-15,0.0,-7.911873421605693e-15,0.17558754232987378,0.17558754232987378,0.17564044194719533,0.9996988186961095,1.662558979376172e-14,True,0.00438968855824665,0.04034007272767708,0.09804762535004911,6.6129500000000005,132.98,6.745671121904709,6.747307585834616,6.745671121904688,,
