n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss,cost,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok
1,10,2043793648,-3088701.352965839,"[15.0, 0.17563615251881026, 0.4114331264156107]",301.6109785999979,0,214,-1.2704018814702067e-05,3088701.3529769406,2096197.994899578,11318892.769395001,1905291.9346328238,190906.06026729732,10326389.411317639,0.0,0.0,0.0,0.0,True
1,11,3820478884,-3088699.7578527126,"[15.0, 0.17563273393399617, 0.41143297124893763]",298.1174716000023,0,223,-1.0811930906129419e-05,3088699.757854957,2096186.6835832049,11318888.492334608,1905280.07183562,190906.61174782735,10326375.418062856,0.0,0.0,0.0,0.0,True
1,12,244745249,-3088701.7403287385,"[15.0, 0.17563831270735641, 0.4114331556380215]",304.465619300001,0,230,-1.189312399674236e-05,3088701.74031749,2096204.8985945107,11318893.456372792,1905299.2083098907,190905.69028516946,10326396.614649814,0.0,0.0,0.0,0.0,True
1,13,2200731268,-3055218.7400381323,"[32.0, 0.17916432069274332, 0.41968681760808385]",321.3585430000021,0,209,-1.1757974860415743e-05,3055218.740030758,2131067.8811392994,11457710.583799906,1943529.2766874905,187538.60445200745,10533559.724908447,0.0,0.0,0.0,0.0,True
1,14,1142353532,-3088702.391504269,"[15.0, 0.1756408998997048, 0.4114333165974854]",322.04951079999955,0,214,-1.4055510177968245e-05,3088702.3915040903,2096213.400395056,11318897.232422767,1905308.1050431533,190905.2953523792,10326408.241313733,0.0,0.0,0.0,0.0,True
1,15,1462555575,-3088700.4370532036,"[15.0, 0.1756387090961167, 0.41143377196543285]",323.0868408999995,0,224,-1.1757974860415743e-05,3088700.4370484,2096208.3225850316,11318904.59957599,1905302.5099821542,190905.8126033037,10326412.485112622,0.0,0.0,0.0,0.0,True
1,16,3415555633,-3055218.6896115113,"[32.0, 0.17916369982601194, 0.41968681535980834]",324.5617745000018,0,206,-1.1487676587762508e-05,3055218.689608494,2131066.0722558955,11457710.418390743,1943527.4359109013,187538.63634542597,10533557.801038144,0.0,0.0,0.0,0.0,True
1,17,230838618,-3088700.7336130776,"[15.0, 0.17563447035579224, 0.4114330020006432]",323.398275800002,0,206,-9.190141270210006e-06,3088700.733610671,2096192.262732009,11318889.852111965,1905285.946080889,190906.31665147468,10326381.381233303,0.0,0.0,0.0,0.0,True
1,18,728210390,-3087885.9919183906,"[16.0, 0.17499623837847889, 0.409964903175282]",320.9284861999986,0,242,-1.256886967837545e-05,3087885.9919154253,2082139.3384858728,11295246.136112224,1898448.584938398,183690.7535479727,10289499.482682671,0.0,0.0,0.0,0.0,True
1,19,3004104055,-3088699.1754131336,"[15.0, 0.17563381079782067, 0.4114332935329783]",318.28482390000136,0,214,-1.1757974860415743e-05,3088699.1754128262,2096191.2153750183,11318894.296526046,1905284.6925299473,190906.52284557847,10326386.33648824,0.0,0.0,0.0,0.0,True
1,20,285342767,-3055218.3372678794,"[32.0, 0.17916397874821738, 0.4196869403790503]",319.3849174999996,0,231,-1.135252745143589e-05,3055218.337264452,2131067.4174832003,11457712.538093448,1943528.7610481572,187538.65643542673,10533561.618312195,0.0,0.0,0.0,0.0,True
1,21,590118450,-3088696.4052283857,"[15.0, 0.17563417395705058, 0.41143164930422194]",321.6719008,0,203,-1.1757974860415743e-05,3088696.4052338377,2096186.5639318472,11318858.118425498,1905280.6154957828,190905.94843613481,10326348.277123507,0.0,0.0,0.0,0.0,True
1,22,4281486953,-3088672.6411998086,"[15.0, 0.1755970148851168, 0.4114339676692602]",325.40934930000003,0,248,-1.0406483497149566e-05,3088672.641197959,2096077.7139460384,11318886.470652599,1905159.5617806353,190918.1521658763,10326291.543400679,0.0,0.0,0.0,0.0,True
1,23,1761294487,-3088702.632130258,"[15.0, 0.17564094017855086, 0.41143354103280905]",324.3266393999984,0,212,-1.0947080042456037e-05,3088702.632136287,2096214.363669819,11318901.97550752,1905309.0061070835,190905.3575632112,10326413.707041051,0.0,0.0,0.0,0.0,True
1,24,3169603661,-3088696.8037354015,"[15.0, 0.17563218635019037, 0.41143362030196134]",319.3728456000026,0,243,-1.1487676587762508e-05,3088696.8037415594,2096187.2349857008,11318898.792888753,1905280.3256229672,190906.90936308092,10326389.224132895,0.0,0.0,0.0,0.0,True
1,25,541961883,-3055217.249532966,"[32.0, 0.17916246199516284, 0.4196863871080992]",298.65394240000023,0,203,-1.135252745143589e-05,3055217.249530295,2131060.526256391,11457700.597614815,1943521.9423231338,187538.5839334658,10533543.874340912,0.0,0.0,0.0,0.0,True
1,26,2956321291,-3057694.672997419,"[31.0, 0.1792083067800941, 0.41983195703590614]",297.38541540000006,0,244,-1.135252745143589e-05,3057694.6730045862,2134716.584783442,11460126.46671088,1944141.4080386246,190575.1767450047,10537148.378489736,0.0,0.0,0.0,0.0,True
1,27,3896031213,-3055217.3033939153,"[32.0, 0.17916345526511807, 0.4196871509873934]",299.9576885999995,0,192,-1.1487676587762508e-05,3055217.3033867665,2131066.456221436,11457715.903641032,1943527.7014686263,187538.7547530741,10533565.056475703,0.0,0.0,0.0,0.0,True
1,28,2219260307,-3088702.8313957434,"[15.0, 0.17564044194719533, 0.4114334496491391]",297.90595269999903,0,238,-1.1082229178782654e-05,3088702.831400996,2096212.6302881718,11318900.231171405,1905307.222114202,190905.40817428296,10326410.030058581,0.0,0.0,0.0,0.0,True
1,29,3195779948,-3088685.9446400013,"[15.0, 0.1756260744578114, 0.41143535516188395]",299.29586629999903,0,182,-1.1217378315109272e-05,3088685.9446512684,2096174.118994201,11318923.94951939,1905265.4526861755,190908.6663084869,10326412.123862322,0.0,0.0,0.0,0.0,True
