scenario,t,unit,b,p_ch,p_dis,p_net,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess
winter,10,0,29,0.0,0.2859040367371373,0.2859040367371373,0.31812095573352117,0.9499731017761126,7.5356851410150005,177.93,7.766339847930745,7.410151315216435
winter,11,0,29,0.0,5.609439297928947e-08,5.609439297928947e-08,0.016748058486055685,0.05001306824330519,7.3647867191100005,172.76,7.584677857323597,7.532734275058428
winter,12,0,29,3.197975897431952e-09,0.0,-3.197975897431952e-09,0.01674752779970685,0.050011483507223564,7.103762761275001,168.65,7.307749826235482,7.2601520982125765
winter,13,0,29,5.433157737237809e-07,0.0,-5.433157737237809e-07,0.016747058075897266,0.05001008081753485,6.716052908595001,160.75,6.897600922563718,6.856864961537622
winter,14,0,29,8.39280565045888e-08,0.0,-8.39280565045888e-08,0.01674710405405634,0.05001021811755739,6.9430672302300005,164.01,7.137583026223181,7.092918950651188
winter,15,0,29,4.422217262475119e-08,0.0,-4.422217262475119e-08,0.016746713784099695,0.05000905269304019,7.062951197835001,165.6,7.2645098514174515,7.2176183067048125
winter,16,0,29,4.450313728893557e-09,0.0,-4.450313728893557e-09,0.016746285629860518,0.050007774138442325,7.188786851775001,167.93,7.397883568799766,7.348741436120335
winter,17,0,29,0.0,8.768928567561508e-09,8.768928567561508e-09,0.016745818695266357,0.050006379777911385,7.37498960997,168.53,7.595515532444161,7.543455101001929
winter,18,0,29,1.4104110461914337e-08,0.0,-1.4104110461914337e-08,0.0167453389481439,0.0500049471565962,7.37158864635,166.68,7.591902859716822,7.5398725468485255
winter,19,0,29,4.023359939654427e-08,0.0,-4.023359939654427e-08,0.016744882962118214,0.050003585490690894,7.27126021956,164.82,7.485378611332841,7.43484397565369
winter,20,0,29,9.108136368506583e-08,0.0,-9.108136368506583e-08,0.016744453831961787,0.050002304021808004,7.108864206705,162.31,7.313155926822502,7.2654513385849855
winter,21,0,29,3.2166407474003595e-07,0.0,-3.2166407474003595e-07,0.016744075703019053,0.050001174852798154,6.886101089595,158.05,7.077317539018657,7.033684086782547
winter,22,0,29,6.394265775916611e-07,0.0,-6.394265775916611e-07,0.016743920615749794,0.0500007117310466,6.655685804340001,152.64,6.83386629522897,6.794381571403981
