scenario,t,unit,b,p_ch,p_dis,p_net,q_mvar,s_apparent,s_rated,s_utilization,poly_margin,poly_binding,loss_pcs_mw,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess,p_slack_ess_qzero,v_lindistflow,mu_penalty_active
winter,6,0,16,1.224492117225506e-05,0.0,-1.224492117225506e-05,0.15348360901267707,0.1534836095011269,0.15352984933287142,0.9996988218776646,-4.884491422441073e-10,True,0.0038367841144988702,0.41598902036738644,0.9499999999999984,6.65285,132.99,6.787225546541536,6.788608300579613,6.78723860068555,0.9847796183894209,False
winter,7,0,16,1.2244921171462035e-05,0.0,-1.2244921171462035e-05,0.1534836090126773,0.15348360950112716,0.15352984933287142,0.9996988218776662,-4.884493920442878e-10,True,0.003836784114498896,0.4159890203673872,0.9500000000000002,7.0432999999999995,140.92,7.194440614754511,7.1956288791425305,7.194453721892432,0.982523579941295,False
winter,8,0,16,1.1724243064633086e-16,0.0,-1.1724243064633086e-16,0.1534836090126775,0.1534836090126775,0.15352984933287142,0.9996988186962024,2.7755575615628914e-16,True,0.003837090225316938,0.4159890203673873,0.9500000000000003,7.6532,155.88,7.832638016759644,7.833503597990676,7.832638016759879,0.9789893923858055,False
winter,9,0,16,0.0,0.07567458518949392,0.07567458518949392,0.13358432465140524,0.1535298493328708,0.15352984933287142,0.999999999999996,-4.6240320193041695e-05,True,0.0019463816035844238,0.41597740361067204,0.9499734706486493,8.3695,171.35,8.58551085358381,8.502368979705594,8.503500666272895,0.9760170204263519,False
winter,10,0,16,0.0,0.13713659238301,0.13713659238301,0.06902875970021681,0.15352984933287112,0.15352984933287142,0.999999999999998,-4.6240320193347006e-05,True,0.0004098314237465286,0.3361991747724444,0.7677828029012608,8.41985,177.93,8.638569098829022,8.488737106411376,8.490071796296949,0.9758836809034291,False
winter,11,0,16,0.0,0.10028152816701555,0.10028152816701555,0.11625416011765845,0.15352984933287112,0.15352984933287142,0.999999999999998,-4.6240320193347006e-05,True,0.0013312080291463903,0.19163767026744336,0.4376456537080854,8.2289,172.76,8.437444362477024,8.3276290706919,8.328988802390482,0.9770417843892817,False
winter,12,0,16,0.0,5.2026688553425875e-16,5.2026688553425875e-16,0.15348360901267752,0.15348360901267752,0.15352984933287142,0.9996988186962026,2.498001805406602e-16,True,0.0038370902253169283,0.08592816754475117,0.19623536961485008,7.937250000000001,168.65,8.130755801676802,8.131474481862533,8.13075580170703,0.9773389308076648,False
winter,13,0,16,-0.0,0.0,0.0,0.15348360901267746,0.15348360901267746,0.15352984933287142,0.9996988186962021,3.0531133177191805e-16,True,0.00383709022531694,0.08592576794627925,0.196229889617935,7.50405,160.75,7.676328396778449,7.677270453959712,7.6763283967783655,0.9798549095954692,False
winter,14,0,16,-0.0,0.0,0.0,0.15348360901267752,0.15348360901267752,0.15352984933287142,0.9996988186962026,2.498001805406602e-16,True,0.0038370902253169414,0.08592336841481829,0.19622440977405378,7.7577,164.01,7.942247335459139,7.9430590652295034,7.942247335459106,0.9783825228941163,False
winter,15,0,16,0.0,2.520206364882278e-17,2.520206364882278e-17,0.15348360901267752,0.15348360901267752,0.15352984933287142,0.9996988186962026,2.498001805406602e-16,True,0.0038370902253169405,0.08592096895036565,0.1962189300832004,7.89165,165.6,8.082859061280748,8.083601436027328,8.082859061280864,0.9776040756048558,False
