n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss_avg,b_arb_total,b_loss_total,cost,capex_power_annual,capex_energy_annual,opex,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok,recompute_jnet_delta,recompute_convergence_ratio,recompute_max_p_shift,cross_effect_pct_avg_max,cross_effect_pct_peak_max,cross_effect_mw_avg_total,cross_effect_mw_peak_total,cross_effect_won_avg_annual,coef_cache_hit_rate,coef_runpp_total,coef_unique_bs_count,coef_measure_wall_s
1,10,2043793648,-3962475.586380575,"[31.0, 0.21077564954105102, 0.440781375324792]",1706.7726249000116,0,45,-123449.40418287364,3962475.5863725636,2685442.384046689,12408136.94339786,1961962.2872159658,711308.1186552747,1968257.885441807,717184.4986049057,11131103.741071984,592098.2562334901,7438823.782367178,3100181.702471317,0.0,0.0,0.0,0.0,True,90.21641831845045,7.096842079210432e-05,5.8629214915023505e-05,0.11911552155641114,0.11640458499137384,0.010898960297564653,0.011262905385900801,113432.67838510411,0.9235801367826345,246720,30840,1521.0301226990414
1,11,3820478884,-3962475.581590932,"[31.0, 0.21077323339224024, 0.44078147352892555]",1586.1873786999931,0,39,-6.487158543677651e-06,3962475.581591781,2685437.9672747524,12408136.415345721,1961960.1399297793,711305.9022831878,1968255.7140997825,717182.2531747647,11131098.801028691,592091.4689338149,7438825.439704091,3100181.8923907843,0.0,0.0,0.0,0.0,True,90.15431882999837,7.188029935297325e-05,5.472135564452141e-05,0.11911467140642377,0.11640277340134217,0.01089888950024731,0.011262752115884567,113431.95371139098,0.9552327305069671,144960,18120,905.1604426998383
1,12,244745249,-3962475.5815400183,"[31.0, 0.2107732292424623, 0.44078147368962256]",1709.2766115999984,0,37,-3133562.335541852,3962475.581355011,2685437.959615462,12408136.414093835,1961960.1362144263,711305.8984792908,1968255.71034591,717182.2492695344,11131098.792354286,592091.4572765088,7438825.442416086,3100181.8926616907,0.0,0.0,0.0,0.0,True,90.15420042350888,7.433289656807277e-05,5.472136025012897e-05,0.11911466994291402,0.11640277240843426,0.010898889377996657,0.011262752336971715,113431.95245863177,0.9405737704918032,194880,24360,1262.1184249010694
1,13,2200731268,-3962475.5818156563,"[31.0, 0.21077384366828672, 0.4407814476804726]",1664.9934328999952,0,39,-6.216860271024416e-06,3962475.580945814,2685439.081538393,12408136.523346234,1961960.6781112733,711306.4614040025,1968256.2583571929,717182.8231811944,11131100.023938814,592093.1832845178,7438825.00347403,3100181.837180266,0.0,0.0,0.0,0.0,True,90.16107998043299,7.344278878659525e-05,5.4721682011329986e-05,0.11911488613873823,0.11640323750961078,0.010898907384225609,0.011262763227874117,113432.13677660479,0.9577464788732394,138240,17280,899.9534723995457
1,14,1142353532,-3962475.5832088366,"[31.0, 0.21077345524549435, 0.44078146013825265]",1581.743277799993,0,37,-7.703500770617211e-06,3962475.583201783,2685438.352086156,12408136.381600467,1961960.3195527168,711306.1028064699,1968255.8960400547,717182.456045871,11131099.150484841,592092.0921506105,7438825.213717102,3100181.8446171274,0.0,0.0,0.0,0.0,True,90.13455514796078,7.26089258640959e-05,5.472148062941884e-05,0.11911474947928614,0.1164029443130361,0.01089889600877525,0.011262768403261347,113432.0203596073,0.9559471365638766,144000,18000,901.6319471999013
1,15,1462555575,-3962475.5810034294,"[31.0, 0.21077321468775048, 0.4407814703743795]",1579.9349285999924,0,39,-7.568351634290593e-06,3962475.575545039,2685437.9176573264,12408136.32745202,1961960.1076088776,711305.8824370473,1968255.6814796138,717182.2361774328,11131098.669564309,592091.4163902892,7438825.38646656,3100181.866707459,0.0,0.0,0.0,0.0,True,90.14298356883228,7.254376326463188e-05,5.4721355872269783e-05,0.11911466484470663,0.11640276678274641,0.010898888959868014,0.011262727734297151,113431.9482044288,0.9544108940201302,147840,18480,933.1810127995559
1,16,3415555633,-3962475.5819035303,"[31.0, 0.21077387993015695, 0.44078144768951216]",1541.1983894000005,0,39,-1.0271334360822948e-05,3962475.5818909407,2685439.153592455,12408136.561689802,1961960.7162859384,711306.4956907965,1968256.2967656653,717182.856826574,11131100.133391317,592093.285149179,7438825.003626586,3100181.844615552,0.0,0.0,0.0,0.0,True,90.16769348457456,0.00015838561335769518,5.472169941687921e-05,0.11911489888981196,0.11640326696419198,0.010898908443599531,0.011262774985692836,113432.14760919355,0.9617984131648546,124800,15600,788.2578219008865
1,17,230838618,-3962475.5819403064,"[31.0, 0.21077465560537242, 0.44078141631381407]",1546.213652699982,0,48,-1099321.4312969928,3962475.581956066,2685440.570602241,12408136.734294709,1961961.406247788,711307.2073325661,1968256.994470242,717183.5761319465,11131101.722940885,592095.4641292627,7438824.474116261,3100181.784695359,0.0,0.0,0.0,0.0,True,90.19576174393296,6.645077847469091e-05,5.4959928980610475e-05,0.11911517181334619,0.11640383603263015,0.010898931172683923,0.011262836249671615,113432.38025940233,0.951954640405849,154560,19320,973.5957967990835
1,18,728210390,-3962475.582062777,"[31.0, 0.21077392503271375, 0.4407814465238066]",1621.7443340000173,0,32,-1003574.6676945855,3962475.5783297457,2685439.235231038,12408136.584600959,1961960.759046439,711306.5375175112,1968256.3400220776,717182.8952090458,11131100.241502251,592093.4118485643,7438824.983953617,3100181.84570007,0.0,0.0,0.0,0.0,True,90.17642294056714,6.590441644512448e-05,5.4721718884584436e-05,0.11911491475897636,0.11640329943493109,0.01089890976436747,0.011262808685665426,113432.16112507532,0.9487632508833922,167040,20880,1051.56685159693
1,19,3004104055,-3962475.5815860834,"[31.0, 0.21077326034219881, 0.4407814723463736]",1682.4166627000086,0,50,-1595964.1710241279,3962475.5812997017,2685438.0162138487,12408136.419140438,1961960.1635330343,711305.9269525107,1968255.7379650592,717182.2782486797,11131098.854054585,592091.5446400149,7438825.419746815,3100181.889667755,0.0,0.0,0.0,0.0,True,90.15409886278212,7.402424773775932e-05,5.47213814739711e-05,0.11911468087899481,0.11640280404559017,0.010898890289622098,0.011262753717803164,113431.96179046942,0.9461922963834166,175680,21960,1103.529812603083
