n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss_avg,b_arb_total,b_loss_total,cost,capex_power_annual,capex_energy_annual,opex,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok,recompute_jnet_delta,recompute_convergence_ratio,recompute_max_p_shift,cross_effect_pct_avg_max,cross_effect_pct_peak_max,cross_effect_mw_avg_total,cross_effect_mw_peak_total,coef_cache_hit_rate,coef_runpp_total,coef_unique_bs_count,coef_measure_wall_s,peak_day_selected,peak_reduction_mw
2,10,4077412534,-3962475.5201777406,"[22.0, 0.0, 6.778169175647984e-12, 31.0, 0.21076358740367426, 0.440782053636069]",2859.6565440999693,0,65,-4498625.089285503,3962475.520178115,2685421.0113433963,12408138.065780217,1961952.3215263728,711297.1807529946,1968247.758319225,717173.2530240641,11131083.556945497,592064.3720038707,7438835.22996629,3100183.9549753345,0.0,0.0,0.0,0.0,True,95.7076933272183,0.0001225056267262455,0.00044012133500107476,0.11911127638762524,0.11640831812469986,0.010898606504939234,0.011264268370690722,0.8607270865335381,522240,65280,3339.0245979987667,summer_peak,0.16308858137356985
2,11,3430916929,-3962475.5570353456,"[2.0, 1.6572431211255423e-08, 0.0, 31.0, 0.21078777985963806, 0.4407810856443408]",3063.0428680000477,0,80,-847367.0054535596,3962474.492901478,2685464.6020920193,12408143.32579717,1961973.883268678,711319.3823190145,1968269.3300346914,717195.2720576891,11131133.434987713,592132.3785479331,7438818.893590224,3100182.1628495553,0.0,0.0,0.0,0.0,True,94.20074336789548,0.0005383664600125947,0.00017629514464437973,0.11911978872804582,0.11641612471045533,0.010899315363056772,0.01127019310022881,0.8839907192575406,432000,54000,2769.814803797344,summer_peak,0.16308865050954324
2,12,133917521,-3962475.475621963,"[31.0, 0.21077629753684388, 0.44078152703585494, 3.0, 1.0511240120164962e-08, 0.0]",3189.457998799975,0,79,-3043482.462949167,3962475.475576453,2685444.3128090915,12408140.500197282,1961963.5771859437,711308.8352074466,1968259.1695534652,717185.1432556622,11131109.33742992,592100.1060717745,7438826.342710981,3100182.8886471647,0.0,0.0,0.0,0.0,True,96.84824289940298,0.00022576580413666264,0.0006498360819432933,0.11911574861512718,0.11642206414184161,0.010898978949100968,0.011264467583204762,0.8595864181771764,528000,66000,3323.6573718989966,summer_peak,0.16308861337076586
2,13,1141997072,-3962475.6007986665,"[32.0, 0.0, 0.0, 31.0, 0.21076580184568522, 0.44078205082397054]",2848.784640900034,0,88,-3207722.3647130555,3962475.594050927,2685425.5771413017,12408140.177636974,1961954.6392405382,711299.2726951372,1968250.12703655,717175.4501046856,11131090.160727348,592070.5926809559,7438835.182393666,3100184.385652725,0.0,0.0,0.0,0.0,True,96.66994991526008,8.718603872896646e-05,0.0005159605390530622,0.11911205508556505,0.1164107187414118,0.010898671226422518,0.011263683021798698,0.8980402542372882,369600,46200,2371.9683669979568,summer_peak,0.16308860913113676
2,14,2099258069,-3962475.457091186,"[14.0, 2.1660488333783924e-08, 0.0, 31.0, 0.2107566889999535, 0.4407823330226293]",3059.224487600033,0,56,-3477984.2201202908,3962475.4570865966,2685408.37776273,12408136.573150313,1961946.1867615979,711290.8484245066,1968241.5502640344,717166.8274985221,11131069.493826445,592045.0542710806,7438839.9449045425,3100184.4946508203,0.0,0.0,0.0,0.0,True,96.39819744043052,0.00011530472130291593,0.0005015444970433038,0.11910884918912644,0.11639969903376018,0.010898404382031046,0.011263769558657266,0.8827401267674305,461760,57720,2931.9368705066736,summer_peak,0.1630885617549218
2,15,2148372924,-3978456.173204761,"[31.0, 0.15608384169838443, 0.31807897071393376, 17.0, 0.055106511504708605, 0.12085028858564946]",3785.012234200025,0,69,-2846293.6119133686,3978456.173209626,2673688.3758486332,12393017.112116912,1956103.0969771813,705677.8618492726,1962411.420088939,711276.9557598158,11088249.31475592,593263.216776529,7407566.643324326,3087419.4546550633,0.0,0.0,0.0,0.0,True,82.83794342726469,4.849842178399095e-05,4.8641388069398106e-05,0.13566632888114602,0.1496751900269365,0.012617584312894614,0.014519660129994172,0.9036144578313253,430080,53760,2745.61093310616,summer_peak,0.16288983641531019
2,16,2603441061,-3962475.508399315,"[31.0, 0.21075660746243907, 0.44078233673397127, 32.0, 1.0733780026121235e-09, 2.2645036453809577e-11]",2677.265718300012,0,78,-3878006.604323786,3962475.5031510685,2685408.2169750426,12408136.561272595,1961946.1158928545,711290.7738547574,1968241.4744372293,717166.7425376489,11131069.27509657,592044.7673887374,7438840.0079209795,3100184.499786851,0.0,0.0,0.0,0.0,True,96.4080514665693,0.00013521257112412196,0.0005000621425633151,0.11910882049880396,0.11639958880506503,0.010898401991707996,0.011263857863490045,0.9042357274401474,349440,43680,2265.912625706522,summer_peak,0.16308856159880492
2,17,3301354103,-3962475.5669992007,"[18.0, 0.0, 1.1775496877548113e-10, 31.0, 0.21078159917118408, 0.44078139655316767]",2467.8798902999843,0,60,-2076700.009023084,3962475.5675587803,2685454.385501767,12408143.354428245,1961968.6297782836,711313.7559471495,1968264.2712225805,717190.1142791106,11131122.172371231,592114.9695760165,7438824.142614033,3100183.0601811795,0.0,0.0,0.0,0.0,True,91.68785225227475,0.06569064567464573,0.0001579421821162432,0.11911761362372797,0.11642726319022433,0.010899134138213196,0.011264999529281283,0.9245840042941492,269760,33720,1753.8213326976402,summer_peak,0.1630886508858609
2,18,900250088,-3962475.524161238,"[1.0, 0.0, 0.0, 31.0, 0.21076072062441867, 0.44078217016539156]",2349.3096362000215,0,93,-362715.66357955546,3962475.5224956274,2685415.7540552374,12408137.464047743,1961949.7738023612,711294.549719101,1968245.1772137762,717170.5768413988,11131077.695607353,592056.3188202988,7438837.1964529045,3100184.180334148,0.0,0.0,0.0,0.0,True,96.28708397969604,7.559128840259711e-05,0.00046894122992135876,0.11911026770563457,0.11640487126355017,0.010898522506912478,0.011264133378805496,0.8996636771300448,343680,42960,2185.175680602959,summer_peak,0.1630885734645915
2,19,3391600376,-3978498.4920805953,"[31.0, 0.1545072617620868, 0.31491921540807116, 17.0, 0.05669335816427606, 0.12394747912556682]",3906.2358721999917,0,88,-9739992.365079397,3978498.492118893,2673171.6623621746,12392117.242661621,1955980.6483364673,705296.5631888873,1962289.6694612156,710881.9929010961,11086790.412904903,593292.0574370063,7406510.772330438,3086987.583137458,0.0,0.0,0.0,0.0,True,50.56099212728441,0.050034819148720336,0.0005162949247708298,0.1351429141042434,0.15014010655379842,0.012585460818219207,0.014567316633255167,0.8945320499692812,494400,61800,3183.397558010067,summer_peak,0.1628780088202184
