n_ess,run,gen,batch_size,eval_cumulative,gbest_f,mean_f,std_f,worst_f,elapsed_s,coef_cache_hit_rate_cumulative
1,0,73,19,1959,-3962475.305081751,-3959884.904015247,5966.434292629082,-3946079.561565144,4.530742000002647,0.7779049799656554
1,0,74,19,1978,-3962475.3236758355,-3960733.6279364824,5021.763546081828,-3946020.1371382475,4.637767200008966,0.7802944507361268
1,0,75,18,1996,-3962475.407304207,-3960653.003580303,5120.978873665046,-3946166.261106765,4.41351990000112,0.7825112107623319
1,0,76,18,2014,-3962475.436477091,-3962470.800307009,6.2517568996641275,-3962452.640276268,4.382373000000371,0.7846836847946725
1,0,77,18,2032,-3962475.436477091,-3961610.034686331,1925.2202801629537,-3957300.826147251,4.410108500014758,0.7868131868131868
1,0,78,18,2050,-3962475.4679152295,-3961612.1732905507,1926.2691102529602,-3957301.660944313,4.70209179999074,0.7889009793253536
1,0,79,18,2068,-3962475.4679152295,-3962469.105834581,11.80354602159694,-3962422.453052243,4.348082199983764,0.790948275862069
1,0,80,18,2086,-3962475.4679152295,-3961567.302054354,3738.6379744576147,-3946152.5040282253,4.446230999979889,0.7929562433297759
1,0,81,17,2103,-3962475.4679152295,-3962162.1609541117,1215.9904918758966,-3957298.622454256,4.379612399992766,0.7948175568482284
1,0,82,17,2120,-3962475.523616787,-3962472.3541103266,9.398202598788188,-3962434.992826283,4.299890199996298,0.7966457023060797
1,0,83,17,2137,-3962475.523616787,-3961557.2243058085,1970.1646494719598,-3957291.149580039,4.3175783999904525,0.7984415584415584
1,0,84,17,2154,-3962475.523616787,-3961555.1919269166,1975.382409702266,-3957275.50661353,4.297216900013154,0.800205973223481
1,0,85,17,2171,-3962475.546656646,-3961561.3180074045,1973.0056439957496,-3957297.3553754054,4.251204400003189,0.8019397651863196
1,0,86,17,2188,-3962475.546656646,-3961558.4094980718,1975.5845828984518,-3957282.143978432,4.303871599986451,0.8036437246963563
1,0,87,17,2205,-3962475.568044523,-3962472.934194516,5.7618594196689354,-3962451.096478604,4.303018999984488,0.8053186151530356
1,0,88,16,2221,-3962475.568044523,-3962475.052402812,0.9043247485757206,-3962472.2652625665,3.4643818000040483,0.8068690890990543
1,0,89,16,2237,-3962475.568044523,-3961827.207525584,1713.0045082334877,-3957290.3168620355,3.6127597000158858,0.808395061728395
1,0,90,16,2253,-3962475.568044523,-3962475.09807414,0.7587029780880301,-3962472.594721377,3.578830200014636,0.8098971092601666
1,0,91,16,2269,-3962475.568044523,-3962151.1235398846,1255.2197420910932,-3957289.6790070776,3.6792067000060342,0.8113757899854157
1,0,92,16,2285,-3962475.568044523,-3962474.9137389194,1.895197206357994,-3962467.6155632716,3.3273230000049807,0.8128316449589966
1,0,93,16,2301,-3962475.568044523,-3962150.632043791,1253.2505301589476,-3957296.8290159404,3.6978558000118937,0.8142651986596458
1,0,94,16,2317,-3962475.569494402,-3962475.1710174,0.6498469830448265,-3962473.244563706,3.5260258999769576,0.8156769596199525
1,0,95,15,2332,-3962475.569494402,-3962475.410723486,0.16835873171690327,-3962474.942721648,3.492570100002922,0.8169811320754717
1,0,96,15,2347,-3962475.569494402,-3962475.3783436227,0.21387109576012792,-3962474.827641314,3.2392778000212274,0.8182669789227166
1,0,97,15,2362,-3962475.569494402,-3962475.4709733753,0.21795974818557123,-3962474.6732925754,3.516986300004646,0.8195348837209302
1,0,98,15,2377,-3962475.569494402,-3962475.4292814466,0.2613044533181586,-3962474.7245909907,3.2123395999951754,0.8207852193995381
