point_id,bus,S,p_level,q_level,feasible,n_samples,alpha_median,identity_abs_max_mw
P3_dev_run0,31,1.045,0.0,0.0,True,72,nan,0.0
P3_dev_run0,31,1.045,0.0,0.0375,True,72,0.9555233242283218,5.709300220091418e-15
P3_dev_run0,31,1.045,0.0,0.05,True,72,0.955536656845853,6.28880628128492e-15
P3_dev_run0,31,1.045,0.0,0.075,True,72,0.9555598886307253,5.2778961756594356e-15
P3_dev_run0,31,1.045,0.0,0.1,True,72,0.9555783926872417,5.654331169946403e-15
P3_dev_run0,31,1.045,0.0,0.15,True,72,0.9556004498215296,5.3208305816898616e-15
P3_dev_run0,31,1.045,0.0,0.2,True,72,0.955601180516527,4.872838244018851e-15
P3_dev_run0,31,1.045,0.0,0.3,True,72,0.9555310344862524,5.31345800691696e-15
P3_dev_run0,31,1.045,0.5225,0.0,True,72,nan,0.0
P3_dev_run0,31,1.045,0.5225,0.0375,True,72,0.9643057426163195,4.496620090166381e-15
P3_dev_run0,31,1.045,0.5225,0.05,True,72,0.9643297162018812,5.146057191485198e-15
P3_dev_run0,31,1.045,0.5225,0.075,True,72,0.964374684619163,4.939191416974964e-15
P3_dev_run0,31,1.045,0.5225,0.1,True,72,0.9644155517378714,4.831638561464402e-15
P3_dev_run0,31,1.045,0.5225,0.15,True,72,0.9644843163471142,4.38451358553138e-15
P3_dev_run0,31,1.045,0.5225,0.2,True,72,0.9645345803128211,4.953502885651773e-15
P3_dev_run0,31,1.045,0.5225,0.3,True,72,0.9645729804657978,4.318594093444261e-15
P3_dev_run0,31,1.045,1.045,0.0,True,72,nan,0.0
P3_dev_run0,31,1.045,1.045,0.0375,False,72,0.9708607740436075,4.8983169950722605e-15
P3_dev_run0,31,1.045,1.045,0.05,False,72,0.9708815219626137,3.75025531462736e-15
P3_dev_run0,31,1.045,1.045,0.075,False,72,0.9709199366502419,4.46452770586081e-15
P3_dev_run0,31,1.045,1.045,0.1,False,72,0.9709541081430936,3.802080178472167e-15
P3_dev_run0,31,1.045,1.045,0.15,False,72,0.9710090295985879,3.917439289624625e-15
P3_dev_run0,31,1.045,1.045,0.2,False,72,0.971044800089919,5.966581395622228e-15
P3_dev_run0,31,1.045,1.045,0.3,False,72,0.9710519999637185,3.980323015628784e-15
