point_id,b,S,E,scenario,t,n_feasible,matrix_rank,n_unique_p,n_unique_q,A_P,A_Q,B_PP,B_QQ,B_PQ,relative_max_residual,rmse_mw,lambda_min_cost,lambda_max_cost,lambda_min_over_lambda_max_pct,is_psd_cost
P1_old_full_opt,15,0.176,0.419,summer_peak,10,37,5,9,17,-0.07842036176461391,-0.04556563106896092,0.019583591674690485,0.0271393809003747,0.001460611521350498,0.006503218978008475,3.5702663577803605e-05,0.019513651284596933,0.027209321290468252,71.716788067892,True
P1_old_full_opt,15,0.176,0.419,summer_peak,11,37,5,9,17,-0.08032872303926375,-0.04667108433971307,0.019665083351608124,0.027401362518884594,0.00151658820167528,0.0064976177601739305,3.6566241955420484e-05,0.019591457622359996,0.02747498824813272,71.30651866135553,True
P1_old_full_opt,15,0.176,0.419,summer_peak,12,37,5,9,17,-0.08044904350824207,-0.04674077678737785,0.019670235061785148,0.027417884069183166,0.0015201301766046144,0.00649727439932978,3.662069417032046e-05,0.019596374772606832,0.02749174435836148,71.28094353404202,True
P1_old_full_opt,15,0.176,0.419,summer_peak,13,37,5,9,17,-0.07896859334265845,-0.04588322558538037,0.019606949079510532,0.02721464980072576,0.001476653674863486,0.00650157650016568,3.595068357331714e-05,0.019535956980770073,0.02728564189946622,71.59793803917161,True
P1_old_full_opt,15,0.176,0.419,summer_peak,14,37,5,9,17,-0.08260323187313401,-0.04798842690201818,0.019762742950866777,0.027713764023655888,0.0015837998689115715,0.006491312695075989,3.7595667290817513e-05,0.019684639108564807,0.02779186786595786,70.82877337897982,True
P1_old_full_opt,15,0.176,0.419,summer_peak,15,37,5,9,17,-0.08451921293903315,-0.049097957621583976,0.019845425535280424,0.027977107089472097,0.0016408355955039935,0.006486283467699446,3.846280058762141e-05,0.019763478156314827,0.028059054468437695,70.4352963088825,True
P1_old_full_opt,15,0.176,0.419,summer_peak,16,37,5,9,17,-0.08564019926798284,-0.04974704205801942,0.019893984355954648,0.028131249240276955,0.0016743833352593912,0.006483454429744306,3.897015581352448e-05,0.019809757880430014,0.02821547571580159,70.20883886545958,True
P1_old_full_opt,15,0.176,0.419,summer_peak,17,37,5,9,17,-0.08750448662837662,-0.05082640645928805,0.01997503855782742,0.028387715468057205,0.0017304668613267668,0.0064789234807771405,3.981394362124012e-05,0.019886972270895302,0.028475781754989323,69.83819598705433,True
P1_old_full_opt,15,0.176,0.419,summer_peak,18,37,5,9,17,-0.08752503990755366,-0.05083828753712735,0.019975976656357124,0.028390473869863958,0.0017310871927868413,0.006478884207442626,3.982344678780759e-05,0.019887866540455792,0.02847858398576529,69.83446420789926,True
P1_old_full_opt,15,0.176,0.419,summer_peak,19,37,5,9,17,-0.08679628709690793,-0.05041639765060101,0.01994420410920787,0.02829027303006949,0.0017091191869864214,0.006480619763248809,3.9493405285107215e-05,0.019857603760553004,0.028376873378724354,69.97812442381796,True
P1_old_full_opt,15,0.176,0.419,summer_peak,20,37,5,9,17,-0.08582404674975476,-0.04985349031985503,0.01990196105031826,0.02815653432447262,0.0016798978731977776,0.006482998106956833,3.905336540089056e-05,0.01981735865743638,0.0282411367173545,70.17195821745513,True
P1_old_full_opt,15,0.176,0.419,summer_peak,21,37,5,9,17,-0.08249210974407738,-0.04792407310569698,0.019757957543461286,0.027698498811616807,0.001580503692378936,0.006491611663550163,3.7545366839785e-05,0.019680074661647378,0.027776381693430715,70.85182972662648,True
P1_old_full_opt,15,0.176,0.419,summer_peak,22,37,5,9,17,-0.07752549900829667,-0.045047210512288306,0.019545454938647334,0.027016542100271747,0.0014344279604021765,0.006505921593090965,3.529746369310939e-05,0.019477226478768463,0.02708477056015062,71.91209700489391,True
