point_id,bus,S,p_level,q_level,feasible,n_samples,alpha_median,dloss_ratio_to_p0_median,identity_abs_max_mw
P1_old_full_opt,15,0.176,0.176,0.0,True,72,nan,nan,0.0
P1_old_full_opt,15,0.176,0.176,0.0375,False,72,0.957217496778258,0.9892581511856681,5.0357938305434224e-15
P1_old_full_opt,15,0.176,0.176,0.05,False,72,0.9572398635354044,0.9892093297387714,4.202150780119318e-15
P1_old_full_opt,15,0.176,0.176,0.0625,False,72,0.9572591840414029,0.9891592576330125,5.594049529156209e-15
P1_old_full_opt,15,0.176,0.176,0.075,False,72,0.957275350433545,0.9891078887557289,4.179816215366117e-15
P1_old_full_opt,15,0.176,0.176,0.1,False,72,0.9572977587023325,0.9890010636995157,5.85946222098066e-15
P1_old_full_opt,15,0.176,0.176,0.125,False,72,0.9573061036392765,0.9888884351215593,5.0758008907081376e-15
P1_old_full_opt,15,0.176,0.176,0.15,False,72,0.9572992943320588,0.9887695389850069,4.94699767261686e-15
P1_old_full_opt,15,0.176,0.176,0.175,False,72,0.9572761195681022,0.988643859945202,5.927116436543756e-15
P1_old_full_opt,15,0.176,0.176,0.2,False,72,0.9572352303540363,0.9885108246369925,5.476088332789786e-15
P1_old_full_opt,15,0.176,0.176,0.25,False,72,0.9570940998451463,0.988220048091748,7.094151655007153e-15
P1_old_full_opt,15,0.176,0.176,0.3,False,72,0.9568614976717384,0.9878746858929701,5.0350348890226826e-15
P1_old_full_opt,15,0.176,0.176,0.4,False,72,0.9560430712191235,0.9870852799650209,5.676882575134101e-15
P2_dev_run1,17,0.303,-0.303,0.0,True,72,nan,nan,0.0
P2_dev_run1,17,0.303,-0.303,0.0375,False,72,0.9413475368152671,1.027008650162276,5.5410320429216675e-15
P2_dev_run1,17,0.303,-0.303,0.05,False,72,0.9413314346916235,1.0271899511609845,5.520106940992697e-15
P2_dev_run1,17,0.303,-0.303,0.0625,False,72,0.9413092856683849,1.027376863237191,4.943311385230409e-15
P2_dev_run1,17,0.303,-0.303,0.075,False,72,0.9412808305999592,1.027569640081056,4.477754972365133e-15
P2_dev_run1,17,0.303,-0.303,0.1,False,72,0.9412038770754747,1.0279738830334217,5.798746899321472e-15
P2_dev_run1,17,0.303,-0.303,0.125,False,72,0.9410981453476388,1.0284050464864671,7.183056233150964e-15
P2_dev_run1,17,0.303,-0.303,0.15,False,72,0.9409608871857776,1.0288658120768899,5.6517290847324375e-15
P2_dev_run1,17,0.303,-0.303,0.175,False,72,0.9407889816000032,1.0293592305245212,7.07940650546135e-15
P2_dev_run1,17,0.303,-0.303,0.2,False,72,0.9405788689040744,1.0298887877684764,5.213711407048294e-15
P2_dev_run1,17,0.303,-0.303,0.25,False,72,0.9400270935254005,1.0310729386317088,5.9266827556747614e-15
P2_dev_run1,17,0.303,-0.303,0.3,False,72,0.9392647913833914,1.0324584160710977,5.8173951766882226e-15
P2_dev_run1,17,0.303,-0.303,0.4,False,72,0.9368658555889382,1.0360740801831816,6.76975836499949e-15
P2_dev_run1,17,0.303,-0.1515,0.0,True,72,nan,nan,0.0
P2_dev_run1,17,0.303,-0.1515,0.0375,True,72,0.9472773511508887,1.0123675158066554,5.3828469459560324e-15
P2_dev_run1,17,0.303,-0.1515,0.05,True,72,0.9472934941138851,1.0124425006818023,5.498314477325739e-15
P2_dev_run1,17,0.303,-0.1515,0.0625,True,72,0.9473045288540105,1.0125153291054598,4.919458937435728e-15
P2_dev_run1,17,0.303,-0.1515,0.075,True,72,0.9473102362337975,1.0125882317534545,7.28583859910259e-15
P2_dev_run1,17,0.303,-0.1515,0.1,True,72,0.947304716643452,1.0127560253667058,5.061489422031329e-15
P2_dev_run1,17,0.303,-0.1515,0.125,True,72,0.9472748786793646,1.0129350583115813,4.852888924045118e-15
P2_dev_run1,17,0.303,-0.1515,0.15,True,72,0.9472183927585265,1.0131264497473405,7.35089072945172e-15
P2_dev_run1,17,0.303,-0.1515,0.175,True,72,0.9471326104511654,1.0133314729473337,7.531735651822302e-15
P2_dev_run1,17,0.303,-0.1515,0.2,True,72,0.9470145078418988,1.0135515826936334,4.721483620739875e-15
P2_dev_run1,17,0.303,-0.1515,0.25,True,72,0.9466669380799916,1.0140439983838543,5.3355757312356644e-15
P2_dev_run1,17,0.303,-0.1515,0.3,False,72,0.9461409341004834,1.0146204541090098,6.389853923760569e-15
P2_dev_run1,17,0.303,-0.1515,0.4,False,72,0.9443458643048754,1.0161259542669643,6.404599073306372e-15
P2_dev_run1,17,0.303,0.0,0.0,True,72,nan,nan,0.0
P2_dev_run1,17,0.303,0.0,0.0375,True,72,0.9524170082252261,1.0,5.6515122442979404e-15
P2_dev_run1,17,0.303,0.0,0.05,True,72,0.9524550225192816,1.0,4.44956571588051e-15
P2_dev_run1,17,0.303,0.0,0.0625,True,72,0.9524885796081879,1.0,7.366936921604506e-15
P2_dev_run1,17,0.303,0.0,0.075,True,72,0.9525174885914591,1.0,4.458456173694891e-15
P2_dev_run1,17,0.303,0.0,0.1,True,72,0.952560531035094,1.0,5.1551644897340765e-15
P2_dev_run1,17,0.303,0.0,0.125,True,72,0.9525823542646787,1.0,5.814359410605263e-15
P2_dev_run1,17,0.303,0.0,0.15,True,72,0.9525809229538704,1.0,3.736160686385048e-15
P2_dev_run1,17,0.303,0.0,0.175,True,72,0.9525539214481042,1.0,3.70536934468646e-15
P2_dev_run1,17,0.303,0.0,0.2,True,72,0.9524987035523347,1.0,6.076302655477761e-15
P2_dev_run1,17,0.303,0.0,0.25,True,72,0.9522909999339706,1.0,4.641252659975947e-15
P2_dev_run1,17,0.303,0.0,0.3,True,72,0.9519273293489293,1.0,5.4773893753967684e-15
P2_dev_run1,17,0.303,0.0,0.4,False,72,0.950549281214113,1.0,5.7783638984787444e-15
P2_dev_run1,17,0.303,0.1515,0.0,True,72,nan,nan,0.0
P2_dev_run1,17,0.303,0.1515,0.0375,True,72,0.9567566365691594,0.9898487018893237,6.536546477697858e-15
P2_dev_run1,17,0.303,0.1515,0.05,True,72,0.9568056787678623,0.9898031510388023,5.286027691953077e-15
P2_dev_run1,17,0.303,0.1515,0.0625,True,72,0.9568506043622687,0.9897561455968347,4.641252659975947e-15
P2_dev_run1,17,0.303,0.1515,0.075,True,72,0.9568912370311127,0.9897076200184991,4.340061296459474e-15
P2_dev_run1,17,0.303,0.1515,0.1,True,72,0.9569588560223148,0.9896057248386478,4.620652818698723e-15
P2_dev_run1,17,0.303,0.1515,0.125,True,72,0.9570068764710973,0.9894968533380686,5.2067725131443865e-15
P2_dev_run1,17,0.303,0.1515,0.15,True,72,0.9570334167387985,0.9893803117744101,4.669008235591576e-15
P2_dev_run1,17,0.303,0.1515,0.175,True,72,0.957036335036609,0.9892553108464852,3.658531810835086e-15
P2_dev_run1,17,0.303,0.1515,0.2,True,72,0.9570131824788695,0.9891209487573002,4.152494320619482e-15
P2_dev_run1,17,0.303,0.1515,0.25,True,72,0.956876978869563,0.9888198411591231,4.598751934814516e-15
P2_dev_run1,17,0.303,0.1515,0.3,False,72,0.9565965526474576,0.9884505422159476,4.454769886308441e-15
P2_dev_run1,17,0.303,0.1515,0.4,False,72,0.955433268755616,0.9875414474298954,4.989064716909297e-15
P2_dev_run1,17,0.303,0.303,0.0,True,72,nan,nan,0.0
P2_dev_run1,17,0.303,0.303,0.0375,False,72,0.9602950207898157,0.9818133595755881,4.336266588855775e-15
P2_dev_run1,17,0.303,0.303,0.05,False,72,0.9603440316418645,0.9817507395402113,5.213494566613797e-15
P2_dev_run1,17,0.303,0.303,0.0625,False,72,0.9603889441740583,0.9816860632533788,4.5254598679544955e-15
P2_dev_run1,17,0.303,0.303,0.075,False,72,0.9604295824390119,0.9816192382817377,5.3334073268906934e-15
P2_dev_run1,17,0.303,0.303,0.1,False,72,0.9604972704429244,0.9814787423053919,5.296544453026186e-15
P2_dev_run1,17,0.303,0.303,0.125,False,72,0.9605454404354644,0.9813283877137264,5.849921241862788e-15
P2_dev_run1,17,0.303,0.303,0.15,False,72,0.9605722148982139,0.9811671956495325,4.802148262372796e-15
P2_dev_run1,17,0.303,0.303,0.175,False,72,0.9605754563004787,0.9809940523768839,6.779733024986356e-15
P2_dev_run1,17,0.303,0.303,0.2,False,72,0.9605527202548498,0.9808076852806278,5.1616697027689895e-15
P2_dev_run1,17,0.303,0.303,0.25,False,72,0.9604176473073865,0.980389212121592,4.679416576447437e-15
P2_dev_run1,17,0.303,0.303,0.3,False,72,0.9601387749336945,0.9798971186846097,4.599619296552504e-15
P2_dev_run1,17,0.303,0.303,0.4,False,72,0.9589799250491775,0.9786041910821788,5.608360997833017e-15
P3_dev_run0,31,1.045,-1.045,0.0,True,72,nan,nan,0.0
P3_dev_run0,31,1.045,-1.045,0.0375,False,72,0.93138326284272,1.06038917759099,4.457155131087909e-15
P3_dev_run0,31,1.045,-1.045,0.05,False,72,0.931336994139853,1.0605981263445377,6.465097554531063e-15
P3_dev_run0,31,1.045,-1.045,0.0625,False,72,0.9312888103290016,1.0608100267349425,7.794546258432788e-15
P3_dev_run0,31,1.045,-1.045,0.075,False,72,0.9312386739251148,1.0610249403601002,6.357327858586004e-15
P3_dev_run0,31,1.045,-1.045,0.1,False,72,0.931132389648947,1.0614640599823406,5.398893138108818e-15
P3_dev_run0,31,1.045,-1.045,0.125,False,72,0.9310178246013512,1.0619160063661937,5.347718795567502e-15
P3_dev_run0,31,1.045,-1.045,0.15,False,72,0.9308946454752465,1.062381329129522,5.762317706325959e-15
P3_dev_run0,31,1.045,-1.045,0.175,False,72,0.9307625004365117,1.0628606096278739,5.5077470362263625e-15
