point_id,b,S,E,solution_label,coefficient_round,scenario,t,p_center_mw,P_net_mw,Q_mvar,p_slack_mw,line_loss_mw,a_P,a_Q,b_PP,b_QQ,b_PQ,matrix_rank,lambda_min_cost,lambda_max_cost,solver,status,objective,lp_pk_proxy_mw
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,0,-0.01247845910006598,-0.0124793890824869,0.0015331213347242994,7.083402622761413,0.19162125669258956,-0.06889910985438388,-0.03890592774973587,0.005401746097399634,0.021541228290915624,0.0044566715750724035,5,0.0050997369738799425,0.021843237414435314,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,1,-0.013189649117994168,-0.013190323908225887,0.0011582929842672862,6.360607481481811,0.15426088277128308,-0.06121286102056601,-0.03457146486819004,0.006730618323808888,0.02099220073389461,0.004012234111260454,5,0.006453799330494448,0.02126901972720905,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,2,-0.013598222259443876,-0.013598880231611085,0.0010348458946026209,6.081566918244538,0.14093750971949573,-0.0582883551388862,-0.032921041734832464,0.007251604338302404,0.020786579808027804,0.003864230765008185,5,0.006981197495038347,0.02105698665129186,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,3,-0.01405993997079752,-0.014060583542600827,0.0009579868019462904,5.907375384908094,0.13293169206935818,-0.05647517185806081,-0.031896356881749445,0.007605800641888451,0.020664262410198808,0.0038134865397799456,5,0.007333081376573513,0.020936981675513746,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,4,-0.014616907826840844,-0.014617562037896381,0.000911633877618594,5.802029518437327,0.12820764072737514,-0.05538368255555383,-0.031277757358563286,0.007861652118081734,0.02059747661572718,0.00383886657261211,5,0.007578659875838138,0.020880468857970777,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,5,-0.015271208538839426,-0.01527192748119617,0.0009072045324872558,5.792042822214896,0.1277695142599704,-0.05528204600517703,-0.031216302749472256,0.007982471437038686,0.02060643745514984,0.0039674933456928865,5,0.007678082300527206,0.02091082659166132,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,6,-0.016031563014224037,-0.0160324139428068,0.0009540083370536607,5.898772170901382,0.13255966567243627,-0.056391529762751996,-0.03183634397234075,0.007943911730562726,0.02070840508302505,0.004228165398689724,5,0.007602884033697624,0.021049432779890152,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,7,-0.01684643660342801,-0.016847488515061945,0.0011028366383377577,6.2367217803309085,0.1483029074930633,-0.059923823903101525,-0.03381993389338822,0.0075746097341787945,0.020995108095328983,0.004736596967990749,5,0.007168941421225488,0.02140077640828229,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,8,-0.017714721245275802,-0.017715990156010344,0.0013675046963174,6.80155472681135,0.17661508287802352,-0.06590494694603209,-0.03717980219096062,0.006896223494616144,0.021471166135413375,0.005520962897579226,5,0.006390909942150377,0.021976479687879143,CLARABEL,optimal,8.347468057516634,8.347468057516634
P1_old_full_opt,15,0.176,0.419,round1,round1,summer_peak,9,-0.018459674544255275,-0.01846174803577666,0.0018644040388142095,7.542126819949315,0.21754215819281586,-0.07389828653612995,-0.041669301283430306,0.005956459547982292,0.022101915423957768,0.006518283660339614,5,0.005323388164257499,0.02273498680768256,CLARABEL,optimal,8.347468057516634,8.347468057516634
