method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate
pwl,1,P2_dev_run1,summer,2,5.2405147029103326e-08,0.0,5.2405147029103326e-08,,True
pwl,1,P2_dev_run1,summer,3,0.0,0.0,0.0,,True
pwl,1,P2_dev_run1,summer,4,0.021506857777441192,0.05,0.02849314222255881,0.5698628444511762,True
pwl,1,P2_dev_run1,summer,5,0.0811886051810907,0.0,0.0811886051810907,,True
pwl,1,P2_dev_run1,summer,6,3.027130852352425e-06,0.0,3.027130852352425e-06,,True
pwl,1,P2_dev_run1,summer,7,3.0271313461127195e-06,0.0,3.0271313461127195e-06,,True
pwl,1,P2_dev_run1,summer,8,3.027130521057441e-06,0.0,3.027130521057441e-06,,True
pwl,1,P2_dev_run1,summer,9,1.6060089267274165e-13,0.0,1.6060089267274165e-13,,True
pwl,1,P2_dev_run1,summer,10,1.3695046803743795e-13,0.0,1.3695046803743795e-13,,True
pwl,1,P2_dev_run1,summer,11,1.415877963379325e-13,0.0,1.415877963379325e-13,,True
pwl,1,P2_dev_run1,summer,12,1.37464526380808e-13,0.0,1.37464526380808e-13,,True
pwl,1,P2_dev_run1,summer,13,1.317488091653118e-13,0.0,1.317488091653118e-13,,True
pwl,1,P2_dev_run1,summer,14,1.4860156579144053e-13,0.0,1.4860156579144053e-13,,True
pwl,1,P2_dev_run1,summer,15,1.120714403499158e-12,0.0,1.120714403499158e-12,,True
pwl,1,P2_dev_run1,summer,16,0.04618234506888532,0.1,0.053817654931114685,0.5381765493111468,True
pwl,1,P2_dev_run1,summer,17,1.8942452414823288e-13,0.0,1.8942452414823288e-13,,True
pwl,1,P2_dev_run1,summer,18,1.5702162183482741e-13,0.0,1.5702162183482741e-13,,True
pwl,1,P2_dev_run1,summer,19,1.521919174082142e-13,0.0,1.521919174082142e-13,,True
pwl,1,P2_dev_run1,summer,20,1.497404232748822e-13,0.0,1.497404232748822e-13,,True
pwl,1,P2_dev_run1,summer,21,1.4377174907672765e-13,0.0,1.4377174907672765e-13,,True
pwl,1,P2_dev_run1,summer,22,1.3899997370388868e-13,0.0,1.3899997370388868e-13,,True
pwl,1,P2_dev_run1,summer,23,1.7064688414094018e-13,0.0,1.7064688414094018e-13,,True
pwl,1,P2_dev_run1,winter,0,0.04621259948823037,0.1,0.05378740051176963,0.5378740051176963,False
pwl,1,P2_dev_run1,winter,1,3.553574159535073e-14,0.0,3.553574159535073e-14,,False
pwl,1,P2_dev_run1,winter,2,3.1192587249737e-07,0.0,3.1192587249737e-07,,False
pwl,1,P2_dev_run1,winter,3,0.021506872265164755,0.05,0.028493127734835248,0.5698625546967049,False
pwl,1,P2_dev_run1,winter,4,0.08118860530663101,0.0,0.08118860530663101,,False
pwl,1,P2_dev_run1,winter,5,3.0271332634790165e-06,0.0,3.0271332634790165e-06,,False
pwl,1,P2_dev_run1,winter,6,3.0271332684667204e-06,0.0,3.0271332684667204e-06,,False
pwl,1,P2_dev_run1,winter,7,3.0271332991734384e-06,0.0,3.0271332991734384e-06,,False
pwl,1,P2_dev_run1,winter,8,3.0271332834587208e-06,0.0,3.0271332834587208e-06,,False
pwl,1,P2_dev_run1,winter,9,5.6492924932668644e-14,0.0,5.6492924932668644e-14,,False
pwl,1,P2_dev_run1,winter,10,0.0811886053066318,0.0,0.0811886053066318,,False
pwl,1,P2_dev_run1,winter,11,0.011232411134182246,0.05,0.038767588865817756,0.7753517773163551,False
pwl,1,P2_dev_run1,winter,12,2.6182290737054254e-14,0.0,2.6182290737054254e-14,,False
pwl,1,P2_dev_run1,winter,13,2.502216482937695e-14,0.0,2.502216482937695e-14,,False
pwl,1,P2_dev_run1,winter,14,2.4713526863904744e-14,0.0,2.4713526863904744e-14,,False
pwl,1,P2_dev_run1,winter,15,2.5206994249117805e-14,0.0,2.5206994249117805e-14,,False
pwl,1,P2_dev_run1,winter,16,2.6493095408945696e-14,0.0,2.6493095408945696e-14,,False
pwl,1,P2_dev_run1,winter,17,2.8600181620450517e-14,0.0,2.8600181620450517e-14,,False
pwl,1,P2_dev_run1,winter,18,2.7928528450029663e-14,0.0,2.7928528450029663e-14,,False
pwl,1,P2_dev_run1,winter,19,2.939544448995702e-14,0.0,2.939544448995702e-14,,False
pwl,1,P2_dev_run1,winter,20,3.778265951744744e-14,0.0,3.778265951744744e-14,,False
pwl,1,P2_dev_run1,winter,21,2.087465238563486e-12,0.0,2.087465238563486e-12,,False
pwl,1,P2_dev_run1,winter,22,1.0551970354370334e-07,0.0,1.0551970354370334e-07,,False
pwl,1,P2_dev_run1,winter,23,0.051347436934971236,0.1,0.04865256306502877,0.4865256306502877,False
pwl,1,P2_dev_run1,shoulder,0,0.04621260049289426,0.1,0.053787399507105746,0.5378739950710574,False
pwl,1,P2_dev_run1,shoulder,1,1.2175963386798166e-11,0.0,1.2175963386798166e-11,,False
pwl,1,P2_dev_run1,shoulder,2,1.3242071288171355e-08,0.0,1.3242071288171355e-08,,False
pwl,1,P2_dev_run1,shoulder,3,0.021506871087357986,0.05,0.028493128912642017,0.5698625782528403,False
pwl,1,P2_dev_run1,shoulder,4,0.08118860530190185,0.0,0.08118860530190185,,False
pwl,1,P2_dev_run1,shoulder,5,3.0273436800622225e-06,0.0,3.0273436800622225e-06,,False
pwl,1,P2_dev_run1,shoulder,6,3.0272903869657724e-06,0.0,3.0272903869657724e-06,,False
pwl,1,P2_dev_run1,shoulder,7,3.027335882021877e-06,0.0,3.027335882021877e-06,,False
pwl,1,P2_dev_run1,shoulder,8,6.89106741463132e-12,0.0,6.89106741463132e-12,,False
pwl,1,P2_dev_run1,shoulder,9,1.4538083177816838e-11,0.0,1.4538083177816838e-11,,False
pwl,1,P2_dev_run1,shoulder,10,0.04618735952866635,0.1,0.053812640471333655,0.5381264047133365,False
pwl,1,P2_dev_run1,shoulder,11,3.0949043101173925e-11,0.0,3.0949043101173925e-11,,False
pwl,1,P2_dev_run1,shoulder,12,1.2787191282129854e-11,0.0,1.2787191282129854e-11,,False
pwl,1,P2_dev_run1,shoulder,13,1.2783642419640799e-11,0.0,1.2783642419640799e-11,,False
pwl,1,P2_dev_run1,shoulder,14,1.2832985175908916e-11,0.0,1.2832985175908916e-11,,False
pwl,1,P2_dev_run1,shoulder,15,1.336590903119358e-11,0.0,1.336590903119358e-11,,False
pwl,1,P2_dev_run1,shoulder,16,1.6026177287725957e-11,0.0,1.6026177287725957e-11,,False
pwl,1,P2_dev_run1,shoulder,17,1.7689803809370992e-11,0.0,1.7689803809370992e-11,,False
pwl,1,P2_dev_run1,shoulder,18,1.6726756231099217e-11,0.0,1.6726756231099217e-11,,False
pwl,1,P2_dev_run1,shoulder,19,1.8829417291262162e-11,0.0,1.8829417291262162e-11,,False
pwl,1,P2_dev_run1,shoulder,20,1.6023757077338826e-11,0.0,1.6023757077338826e-11,,False
