point_id,scenario,t,p_t,q_star_t,gain_t_won,s_utilization
P2_dev_run1,winter,15,9.826429252087594e-11,0.0,0.0,3.2430459577846847e-10
P2_dev_run1,winter,16,6.057695139037159e-10,0.0,0.0,1.999239319814244e-09
P2_dev_run1,winter,17,9.040338966399379e-10,0.0,0.0,2.9836102199337887e-09
P2_dev_run1,winter,18,2.864157070386801e-10,0.0,0.0,9.452663598636307e-10
P2_dev_run1,winter,19,-1.5954421091744369e-10,0.0,0.0,5.265485508826524e-10
P2_dev_run1,winter,20,-8.918424212874538e-10,0.0,0.0,2.9433743276813656e-09
P2_dev_run1,winter,21,-5.998262321060347e-09,0.0,0.0,1.9796245284027547e-08
P2_dev_run1,winter,22,-5.949404327350662e-07,0.0,0.0,1.963499778003519e-06
P2_dev_run1,winter,23,-0.19163124224497646,0.1,165.10741249638943,0.7133793951051384
P2_dev_run1,shoulder,0,0.17246777438355637,0.1,104.22256361436277,0.6579597848223541
P2_dev_run1,shoulder,1,-2.077338480316597e-09,0.0,0.0,6.8559025753023e-09
P2_dev_run1,shoulder,2,-5.942217706773095e-07,0.0,0.0,1.9611279560307244e-06
P2_dev_run1,shoulder,3,-0.08026470732592479,0.05,32.67782738703436,0.3120936856560027
P2_dev_run1,shoulder,4,-0.3029999964288179,0.0,0.0,0.9999999882139206
P2_dev_run1,shoulder,5,-1.1328389321589697e-05,0.0,0.0,3.738742350359636e-05
P2_dev_run1,shoulder,6,-1.1297439360900162e-05,0.0,0.0,3.728527841881242e-05
P2_dev_run1,shoulder,7,-1.1297929918741273e-05,0.0,0.0,3.728689742158836e-05
P2_dev_run1,shoulder,8,-4.635002871580058e-09,0.0,0.0,1.5297039180132204e-08
P2_dev_run1,shoulder,9,1.2406796871210169e-09,0.0,0.0,4.09465243274263e-09
P2_dev_run1,shoulder,10,0.17237356362886713,0.1,132.65335199611008,0.6576908209323656
P2_dev_run1,shoulder,11,4.684996969967922e-09,0.0,0.0,1.5462036204514594e-08
P2_dev_run1,shoulder,12,6.224877100830885e-10,0.0,0.0,2.054414884762668e-09
P2_dev_run1,shoulder,13,-8.549552310973306e-10,0.0,0.0,2.8216344260637974e-09
P2_dev_run1,shoulder,14,-4.3851879427422797e-11,0.0,0.0,1.4472567467796302e-10
P2_dev_run1,shoulder,15,5.495529976024048e-10,0.0,0.0,1.8137062627142075e-09
P2_dev_run1,shoulder,16,1.5526034312599524e-09,0.0,0.0,5.124103733531196e-09
P2_dev_run1,shoulder,17,1.6885571614243039e-09,0.0,0.0,5.572795912291432e-09
P2_dev_run1,shoulder,18,1.3204142237040258e-09,0.0,0.0,4.357802718495135e-09
P2_dev_run1,shoulder,19,1.7438334514276406e-09,0.0,0.0,5.755225912302444e-09
P2_dev_run1,shoulder,20,1.080127290686752e-09,0.0,0.0,3.5647765369199736e-09
P2_dev_run1,shoulder,21,1.2167083120161294e-10,0.0,0.0,4.0155389835515826e-10
P2_dev_run1,shoulder,22,-5.268418349324058e-10,0.0,0.0,1.7387519304699862e-09
P2_dev_run1,shoulder,23,-1.5418655983476863e-09,0.0,0.0,5.088665341081473e-09
P2_dev_run1,summer_peak,0,0.003984101265712581,0.0,0.0,0.013148849061757693
P2_dev_run1,summer_peak,1,-0.02084099507313361,0.02,16.006365336416795,0.09533025298534685
P2_dev_run1,summer_peak,2,-0.020458554164741682,0.02,12.236655076212656,0.09442361531979115
P2_dev_run1,summer_peak,3,-0.020263186350864965,0.02,10.338367363025126,0.09396363146018034
P2_dev_run1,summer_peak,4,-0.021329711641084353,0.02,10.246475586791178,0.09650046494487642
P2_dev_run1,summer_peak,5,-0.022927691022557345,0.02,11.551323095872595,0.10041245396623506
P2_dev_run1,summer_peak,6,-0.025689569886605895,0.02,14.997223785882998,0.10744862957054717
P2_dev_run1,summer_peak,7,-0.0267631864924828,0.02,19.559161659513755,0.11026600456930011
P2_dev_run1,summer_peak,8,-0.02600646529373085,0.02,25.356360499895654,0.10827578784634376
P2_dev_run1,summer_peak,9,-0.012190288363555873,0.02,13.399215414413113,0.07730124919288885
P2_dev_run1,summer_peak,10,-0.0020667773143905888,0.0,0.0,0.006821047242213165
P2_dev_run1,summer_peak,11,-0.005212966664908197,0.02,0.5484155019053248,0.06821192352043631
