point_id,b,S,E,scenario,t,n_feasible,matrix_rank,n_unique_p,n_unique_q,a_P,a_Q,b_PP,b_QQ,b_PQ,relative_max_residual,rmse_mw,lambda_min_cost,lambda_max_cost,lambda_min_over_lambda_max_pct,is_psd_cost
P2_dev_run1,17,0.303,0.404,summer,6,37,5,9,17,-0.054024964533156056,-0.031545522053195565,0.023930197286171347,0.022905463934110807,0.001453408037036464,0.0007719531562139898,4.481399360165212e-06,0.022528663392326082,0.02430699782795607,92.68385817032213,True
P2_dev_run1,17,0.303,0.404,summer,7,37,5,9,17,-0.057109218411976824,-0.03334341598026615,0.024150847458328923,0.023073411261714888,0.0015494899642023927,0.0007460516814108812,4.553222061985388e-06,0.022668494379356974,0.024555764340686837,92.31435057306354,True
P2_dev_run1,17,0.303,0.404,summer,8,37,5,9,17,-0.06206477331041608,-0.036231100110007144,0.024507790344169632,0.023344371642320106,0.0017061261089901872,0.0007096139301077771,4.6703747274575356e-06,0.022893558671985996,0.024958603314503742,91.72612098322936,True
P2_dev_run1,17,0.303,0.404,summer,9,37,5,9,17,-0.06860494946505052,-0.04004023318009576,0.02498344532687234,0.023704078074246654,0.001917129436016872,0.0006693941787277855,4.828335788286266e-06,0.023191354888542428,0.025496168512576568,90.96015692358937,True
P2_dev_run1,17,0.303,0.404,summer,10,37,5,9,17,-0.0723316114983199,-0.04220974734135666,0.025256811587056317,0.023910111385801406,0.002039548991203774,0.0006497062780163749,4.920067363261648e-06,0.023361438417949756,0.025805484554907967,90.52896630653125,True
P2_dev_run1,17,0.303,0.404,summer,11,37,5,9,17,-0.0735142966897923,-0.04289811394790904,0.02534392115489409,0.023975659744151955,0.002078732837974273,0.000643878071069253,4.949443047666962e-06,0.023415476431700485,0.02590410446734556,90.39292001473275,True
P2_dev_run1,17,0.303,0.404,summer,12,37,5,9,17,-0.07302259393659302,-0.04261193320646089,0.025307684483613067,0.023948398452802132,0.0020624225955214806,0.0006462779504481142,4.937214592133996e-06,0.023393006501488508,0.02586307643492669,90.4494349709206,True
P2_dev_run1,17,0.303,0.404,summer,13,37,5,9,17,-0.07109398722970384,-0.04148932923083195,0.025165838571052267,0.023841601728284992,0.001998716883679974,0.0006560148995142617,4.889463550930539e-06,0.023304921543057657,0.025702518756279602,90.67174219010668,True
P2_dev_run1,17,0.303,0.404,summer,14,37,5,9,17,-0.07423831850166537,-0.04331948704799293,0.025397332699925182,0.02401582597203774,0.0021027999043394946,0.0006404029953318288,4.967489416305904e-06,0.02344857215427616,0.025964586517686763,90.30982310580326,True
P2_dev_run1,17,0.303,0.404,summer,15,37,5,9,17,-0.07586389065364144,-0.04426545808620898,0.025517485808502688,0.024106113667243145,0.00215705487331843,0.0006328466795960128,5.008181936942002e-06,0.02352291872633322,0.026100680749412613,90.12377474814559,True
P2_dev_run1,17,0.303,0.404,summer,16,37,5,9,17,-0.07675626831650734,-0.044784704775142,0.025583582832928078,0.02415574088363293,0.002186968136430892,0.0006288375863092987,5.030623710508974e-06,0.0235637558258713,0.026175567890689706,90.02194689442672,True
P2_dev_run1,17,0.303,0.404,summer,17,37,5,9,17,-0.07833476642525515,-0.04570308731028848,0.02570073857235579,0.024243633647687786,0.002240105501849117,0.0006219757312986605,5.070499850830807e-06,0.02363603235568563,0.026308339864357943,89.84235598882199,True
P2_dev_run1,17,0.303,0.404,summer,18,37,5,9,17,-0.0781816335664906,-0.04561399878814991,0.025689359718596677,0.024235100929952798,0.002234937966592465,0.0006226289081317786,5.0666213241003384e-06,0.02362901838136539,0.026295442267184083,89.85974885409586,True
P2_dev_run1,17,0.303,0.404,summer,19,37,5,9,17,-0.07766158389495322,-0.045311439460008915,0.025650737801704293,0.024206132999943036,0.0022174088577743695,0.0006248669817600875,5.053465751962375e-06,0.023605202137580945,0.026251668664066384,89.91886359548657,True
P2_dev_run1,17,0.303,0.404,summer,20,37,5,9,17,-0.07702045104373016,-0.04493841690518381,0.02560316914380817,0.02417044122592643,0.002195841369159547,0.000627668998980164,5.037281521126233e-06,0.023575848606144128,0.02619776176359047,89.99184288678332,True
