method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction,p_ch,p_dis,p_net,s_app,q_penalty,pcs_true,pcs_charged,poly_n,s_cap,norm_true,s_app_deficit,at_s_cap
qp,,P2_dev_run1,winter,22,5.661070467431156e-07,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,5.946008108205161e-07,0.0,-5.946008108205161e-07,8.207443963831988e-07,2.2614358559433882e-07,6.7917255998268015e-09,6.78430756783017e-09,128,0.3029087420649499,8.20991664148076e-07,2.472677648771616e-10,False
qp,,P2_dev_run1,winter,23,0.11619182102134819,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,0.19163124707260887,0.0,-0.19163124707260887,0.22410213722409028,0.032470890151481496,0.0009742141340963132,0.0009741267045444458,128,0.3029087420649499,0.22410505154248594,2.9143183956636953e-06,False
qp,,P2_dev_run1,shoulder,0,0.09003143643069607,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,1.6890290425289354e-18,0.17246777322978016,0.17246777322978016,0.1945435219713405,0.022075748741560392,0.0006625508309221815,0.0006622724622468123,128,0.3029087420649499,0.1945528009271862,9.278955845681836e-06,False
qp,,P2_dev_run1,shoulder,1,2.2647517926983715e-14,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,6.6864983691647935e-16,6.256699199007794e-16,-4.2979917015699925e-17,2.6522379716420895e-14,2.4704883139425216e-14,6.781373637917938e-16,7.411464941827571e-16,128,0.3029087420649499,2.2647558710075474e-14,-3.87482100634542e-15,False
qp,,P2_dev_run1,shoulder,2,3.765262583936906e-07,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,5.946007983937918e-07,0.0,-5.946007983937918e-07,7.035792620586957e-07,1.089784637053707e-07,3.2757137428588394e-09,3.2693539111611237e-09,128,0.3029087420649499,7.037912564890863e-07,2.1199443039068226e-10,False
qp,,P2_dev_run1,shoulder,3,0.03091358717479063,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,0.05457011300370924,1.940049785337001e-18,-0.05457011300370924,0.06269910717364627,0.008128994169937079,0.0002444365097382792,0.00024386982509811257,128,0.3029087420649499,0.06271799666165187,1.8889488005602306e-05,False
qp,,P2_dev_run1,shoulder,4,0.09034520708058598,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,0.28913287741640487,5.512366945200195e-19,-0.28913287741640487,0.30290874206494955,0.013775864648544802,0.0004135914362382507,0.0004132759394563444,128,0.3029087420649499,0.30291925862434654,1.0516559396989145e-05,True
qp,,P2_dev_run1,shoulder,5,0.02241681938796306,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,0.039571220262071785,1.999185962210892e-18,-0.039571220262071785,0.04546591611483728,0.005894695852765549,0.00017725180386368695,0.00017684087558296664,128,0.3029087420649499,0.04547961372419468,1.3697609357397889e-05,False
qp,,P2_dev_run1,shoulder,6,7.15400930596389e-06,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,1.1297415353303492e-05,0.0,-1.1297415353303492e-05,1.3368012181864387e-05,2.070596828611607e-06,6.22387271214771e-08,6.211790485834826e-08,128,0.3029087420649499,1.3372039590686061e-05,4.027408821674248e-09,False
qp,,P2_dev_run1,shoulder,7,7.956537518913754e-06,,,,False,0.007435992242442423,0.00022307976727327288,,,26,,,,,,,True,1.1297415353310899e-05,0.0,-1.1297415353310899e-05,1.3813872965150338e-05,2.516457611890461e-06,7.561858038406762e-08,7.549372835671389e-08,128,0.3029087420649499,1.3818034699446484e-05,4.161734296145796e-09,False
