point_id,bus,S,scenario,t,p_level,q_level,feasible,A,B,C,dLoss_total,alpha,dloss_ratio_to_p0,identity_abs_mw
P2_dev_run1,17,0.303,winter,8,0.0,0.125,True,0.002247746370289206,7.207916022359612e-05,4.9158571090691704e-05,0.0023689841016059643,0.9488229020893093,1.0,2.4702462297909733e-15
P2_dev_run1,17,0.303,winter,8,0.0,0.15,True,0.002615380967213446,8.221538646859307e-05,5.882525911295911e-05,0.0027564216127935193,0.9488319766013101,1.0,1.478851763270228e-15
P2_dev_run1,17,0.303,winter,8,0.0,0.175,True,0.0029558130119603744,9.093467253572048e-05,6.850965327267733e-05,0.003115257337769961,0.9488182488565378,1.0,1.188719261913107e-15
P2_dev_run1,17,0.303,winter,8,0.0,0.2,True,0.0032690859871164577,9.824101056763873e-05,7.824248649279066e-05,0.003445569484176292,0.9487795855314104,1.0,5.950101522600448e-16
P2_dev_run1,17,0.303,winter,8,0.0,0.25,True,0.0038143277302646445,0.00010863052322038539,9.797534289707091e-05,0.004020933596382115,0.948617438919318,1.0,1.3877787807814457e-17
P2_dev_run1,17,0.303,winter,8,0.0,0.3,True,0.004251450358214009,0.00011341468645519829,0.00011826547949012949,0.0044831305241625485,0.9483217888259415,1.0,3.2118405157710583e-15
P2_dev_run1,17,0.303,winter,8,0.0,0.4,False,0.00480270040471537,0.00010628554771003365,0.00016146768876845914,0.005070453641194461,0.9471934356516439,1.0,5.984795992119984e-16
P2_dev_run1,17,0.303,winter,8,0.1515,0.0,True,0.0,0.0,0.0,0.0,nan,nan,0.0
P2_dev_run1,17,0.303,winter,8,0.1515,0.0375,True,0.000741906091166356,2.387298460424378e-05,1.270097561940353e-05,0.0007784800513890577,0.9530187573111962,0.989710169277736,9.45641134841857e-16
P2_dev_run1,17,0.303,winter,8,0.1515,0.05,True,0.0009755471479982171,3.116741430423756e-05,1.687058808252666e-05,0.0010235851503836157,0.9530688752495138,0.9896674324316016,1.3656610564627414e-15
P2_dev_run1,17,0.303,winter,8,0.1515,0.0625,True,0.0012023668871176056,3.813105466873803e-05,2.101472693552767e-05,0.0012615126687200162,0.9531151901451592,0.9896234296126057,1.855069917122698e-15
P2_dev_run1,17,0.303,winter,8,0.1515,0.075,True,0.0014223707910536003,4.4764393191443285e-05,2.5137301419630893e-05,0.0014922724856626934,0.9531575531408053,0.9895781081299906,1.9810542095655137e-15
P2_dev_run1,17,0.303,winter,8,0.1515,0.1,True,0.0018419529666230772,5.704210261377315e-05,3.333332690331605e-05,0.0019323283961375781,0.9532297772494844,0.9894832837814285,2.588207426157396e-15
P2_dev_run1,17,0.303,winter,8,0.1515,0.125,True,0.002234337303003673,6.800438118602707e-05,4.148966963391149e-05,0.002343831353824516,0.9532841598683379,0.9893824750599225,9.046582927219049e-16
P2_dev_run1,17,0.303,winter,8,0.1515,0.15,True,0.0025995672414933692,7.765501037126715e-05,4.963712134129726e-05,0.0027268593732072965,0.953319143273528,0.9892751386620197,1.3630589712487762e-15
P2_dev_run1,17,0.303,winter,8,0.1515,0.175,True,0.0029376860373086567,8.59977140362394e-05,5.78062620966429e-05,0.003081490013438881,0.9533329734955909,0.9891606629341086,2.6580300460654627e-15
P2_dev_run1,17,0.303,winter,8,0.1515,0.2,True,0.0032487367611931323,9.303615931568877e-05,6.602746203126452e-05,0.0034078003825406544,0.9533236682047281,0.9890383572848868,5.689893001203927e-16
P2_dev_run1,17,0.303,winter,8,0.1515,0.25,True,0.0037898053625107244,0.00010321466596383474,8.274648045517828e-05,0.0039757665089292515,0.9532263411342509,0.9887670148312067,4.85722573273506e-16
P2_dev_run1,17,0.303,winter,8,0.1515,0.3,False,0.00422311397226213,0.00010821874184213058,0.00010003300259219113,0.004431365716697444,0.9530050648605646,0.9884534239665542,9.922618282587337e-16
P2_dev_run1,17,0.303,winter,8,0.1515,0.4,False,0.004767800648568657,0.00010281217445714809,0.00013724765267361162,0.005007860475700426,0.9520633954766495,0.9876553125374222,1.0096090630185017e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.0,True,0.0,0.0,0.0,0.0,nan,nan,0.0
P2_dev_run1,17,0.303,winter,8,0.303,0.0375,False,0.0007384910230615034,2.2475125118576216e-05,1.0985801081363922e-05,0.0007719519492573046,0.9566541334237267,0.9814107542132763,4.138941793463413e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.05,False,0.0009710390175273916,2.935760284274136e-05,1.458585566527415e-05,0.0010149824760318227,0.9567052047280338,0.9813498179814569,3.584372382237078e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.0625,False,0.0011967882553187781,3.59362239564008e-05,1.8161443975834576e-05,0.0012508859232475966,0.9567525168175463,0.9812870279570388,3.4169715668053158e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.075,False,0.0014157441677693015,4.2211435696781774e-05,2.1716429943322606e-05,0.0014796720334040725,0.9567959222100717,0.9812223072776207,5.3334073268906934e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.1,False,0.0018332976859603376,5.3853408180621004e-05,2.8779984424717277e-05,0.0019159310785631378,0.9568703730904706,0.9810867443157791,2.538117285788566e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.125,False,0.0022237427946888754,6.428703912149733e-05,3.580716654699479e-05,0.0023238370003537817,0.9569271830814003,0.9809424211747235,3.58567342484406e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.15,False,0.002587122532418766,7.351579273278998e-05,4.2828414217359066e-05,0.002703466739364113,0.9569648092017168,0.9807885436742971,4.802148262372796e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.175,False,0.0029234797545794992,8.154307794592737e-05,4.987395748277899e-05,0.0030548967900036195,0.9569815137931502,0.9806242177702242,4.586175189613684e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.2,False,0.00323285713504891,8.83722497628902e-05,5.6973820209941996e-05,0.0033782032050179017,0.956975332403599,0.9804484340055343,3.840677775812651e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.25,False,0.0037708421671172588,9.84494072368828e-05,7.14555785310021e-05,0.003940747152881549,0.95688508316499,0.980057754852576,3.594347042223944e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.3,False,0.004201415437993795,0.00010377302780369892,8.650981863812511e-05,0.00439169828443102,0.9566721495618687,0.9796052693003828,4.599619296552504e-15
P2_dev_run1,17,0.303,winter,8,0.303,0.4,False,0.004741663881871543,0.00010025862090586348,0.00011926433891433143,0.004961186841689905,0.955751926540306,0.9784502911895638,1.833602714107485e-15
P2_dev_run1,17,0.303,winter,9,-0.303,0.0,True,0.0,0.0,0.0,0.0,nan,nan,0.0
P2_dev_run1,17,0.303,winter,9,-0.303,0.0375,False,0.0008371212797838716,3.4992129705206976e-05,2.5391180869645664e-05,0.0008975045903568124,0.9327208894286159,1.0268046800278494,1.91177369074369e-15
P2_dev_run1,17,0.303,winter,9,-0.303,0.05,False,0.0011022418554448837,4.573927478345471e-05,3.3768008577802605e-05,0.001181749138803534,0.9327206758626051,1.0269486591356425,2.606855703524147e-15
P2_dev_run1,17,0.303,winter,9,-0.303,0.0625,False,0.0013604121287934551,5.60291379581543e-05,4.210833002746701e-05,0.0014585495967763817,0.9327157141588976,1.0270964103666407,2.6946760794954727e-15
P2_dev_run1,17,0.303,winter,9,-0.303,0.075,False,0.0016116378531443602,6.586240863268964e-05,5.041628890025043e-05,0.0017279165506778327,0.9327058372767723,1.0272480754343347,5.323432666903827e-16
P2_dev_run1,17,0.303,winter,9,-0.303,0.1,False,0.0020932786064766177,8.416191699675587e-05,6.695162023049832e-05,0.00224439214369912,0.9326706174557167,1.0275637526353216,4.752274962438463e-15
P2_dev_run1,17,0.303,winter,9,-0.303,0.125,False,0.0025472098907392653,0.00010064324255877721,8.340685876710146e-05,0.0027312599920619463,0.9326134817419071,1.0278969826105342,3.197962727963244e-15
P2_dev_run1,17,0.303,winter,9,-0.303,0.15,False,0.0029734772784485684,0.00011531175813078034,9.981462787760949e-05,0.0031886036644537263,0.9325327294817578,1.0282491980219253,3.2317898357447916e-15
P2_dev_run1,17,0.303,winter,9,-0.303,0.175,False,0.0033721261406336146,0.00012817276594398257,0.00011620732001557176,0.003616506226588989,0.9324264716707349,1.0286219923745963,4.179816215366117e-15
P2_dev_run1,17,0.303,winter,9,-0.303,0.2,False,0.003743201648398435,0.0001392314988008496,0.00013261709865215293,0.0040150502458497495,0.9322926038765474,1.0290171433365256,1.6878859421254333e-15
P2_dev_run1,17,0.303,winter,9,-0.303,0.25,False,0.004402812295789831,0.00015596273250011953,0.0001656154359415056,0.004724390464231509,0.9319323474898284,1.0298827157519452,5.2909066017292616e-17
P2_dev_run1,17,0.303,winter,9,-0.303,0.3,False,0.004952666648515213,0.00016554594416149572,0.00019906243948703285,0.0053172750321606455,0.9314294668904355,1.0308649939082684,3.0964814046186007e-15
P2_dev_run1,17,0.303,winter,9,-0.303,0.4,False,0.0057245207374413696,0.00016342503033961515,0.0002682959861846916,0.0061562417539613445,0.9298726343483544,1.0332846466950325,4.331604519514087e-15
P2_dev_run1,17,0.303,winter,9,-0.1515,0.0,True,0.0,0.0,0.0,0.0,nan,nan,0.0
P2_dev_run1,17,0.303,winter,9,-0.1515,0.0375,True,0.0008305006471602131,3.2924415715066976e-05,2.1484221069325728e-05,0.0008849092839414985,0.9385150119129246,1.0123948154849978,3.1073234263434557e-15
P2_dev_run1,17,0.303,winter,9,-0.1515,0.05,True,0.0010934655467603465,4.304224278829479e-05,2.856370355852067e-05,0.0011650714931039363,0.9385394400537428,1.0124556628419608,3.2255014631443757e-15
P2_dev_run1,17,0.303,winter,9,-0.1515,0.0625,True,0.0013495056450576305,5.273266692402067e-05,3.560907575718915e-05,0.0014378473877385556,0.9385597223778605,1.0125181165352855,2.8471149049469346e-16
