method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction,p_ch,p_dis,p_net,s_app,q_penalty,pcs_true,pcs_charged
qp,,P1_old_full_opt,winter,20,1.1358695676194655e-13,0.0,1.1358695676194655e-13,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,0.0,0.0,0.0,1.195351108242067e-13,1.3185322837582918e-13,3.4076087028583996e-15,3.9555968512748785e-15
qp,,P1_old_full_opt,winter,21,1.4304020174011662e-13,0.0,1.4304020174011662e-13,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,1.2123413623872937e-13,0.0,-1.2123413623872937e-13,2.0457759946698885e-13,9.504404616100122e-14,1.988133118913668e-15,2.8513213848300392e-15
qp,,P1_old_full_opt,winter,22,0.03572411359085781,0.02,0.01572411359085781,0.7862056795428904,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,0.04352995835900295,1.4239859097638997e-17,-0.04352995835900294,0.05604109171239874,0.01251113335339643,0.00038346876695071223,0.00037533400060189327
qp,,P1_old_full_opt,winter,23,0.08296582568133112,0.0,0.08296582568133112,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,0.15521814252532432,3.6518145802344556e-18,-0.15521814252532432,0.1751525118943028,0.01993436936897918,0.0006234557242400085,0.000598031081069376
qp,,P1_old_full_opt,shoulder,0,0.017251016698007868,0.0,0.017251016698007868,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,3.2899024875889647e-17,0.17515251189430564,0.1751525118943056,0.17515251189430664,1.0629811971795572e-15,2.5424643170816352e-05,3.1889435915386746e-17
qp,,P1_old_full_opt,shoulder,1,0.0019873705975564215,0.0,0.0019873705975564215,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,3.4596212290351576e-17,0.0037181088734837267,0.003718108873483692,0.004195618489515034,0.0004775096160313662,1.4934312592677422e-05,1.4325288480940998e-05
qp,,P1_old_full_opt,shoulder,2,1.3154367720999178e-14,0.0,1.3154367720999178e-14,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,1.4488129677646748e-14,5.380950306729493e-15,-9.107179370917256e-15,1.9884691738110294e-14,3.901499183221295e-15,2.0676409302736062e-16,1.1704497549663894e-16
qp,,P1_old_full_opt,shoulder,3,0.06654328738175888,0.0,0.06654328738175888,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,0.12449373437917383,2.7409477043015534e-17,-0.1244937343791738,0.1404822267349236,0.01598849235574986,0.0005000467733217353,0.00047965477067249624
qp,,P1_old_full_opt,shoulder,4,0.0510901031967842,0.0,0.0510901031967842,,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,0.16842149908886864,2.51647519293526e-17,-0.1684214990888686,0.17515251189430642,0.006731012805437839,0.00022735502733392746,0.00020193038416313534
qp,,P1_old_full_opt,shoulder,5,0.05590429345859639,0.02,0.03590429345859639,1.7952146729298193,False,0.017251016698002664,0.0008474881056933404,14,2,32,0.4375,6.652607415523346e-14,shoulder,19,0,1.383742342428856e-06,True,0.10458957671510216,2.7503325663271195e-17,-0.10458957671510213,0.11802181614578298,0.01343223943068092,0.00042009889590256,0.00040296718292042794
