bus,scenario,t,P_assumed,S_assumed,lhs_0,a_slope,q_star,gain_won
10,summer,0,0.1,2.4,0.016273031226283204,0.025,0.0569636548419925,56.6657526455482
10,summer,0,0.3,0.3,0.016273031226283204,0.025,0.0,0.0
10,summer,0,0.3,1.0,0.016273031226283204,0.025,0.14087086753814546,143.8772497831845
10,summer,0,0.3,2.4,0.016273031226283204,0.025,0.14087086753860367,143.87724978318434
10,summer,0,0.5,1.0,0.016273031226283204,0.025,0.20180037981511045,208.8914200196401
10,summer,0,0.5,2.4,0.016273031226283204,0.025,0.20180037981510784,208.89142001963975
10,summer,0,1.0,1.0,0.016273031226283204,0.025,0.0,0.0
10,summer,0,1.0,2.4,0.016273031226283204,0.025,0.3029728293538523,318.21861389857565
11,summer,0,0.0,0.3,0.016591793111057556,0.025,0.0,0.0
11,summer,0,0.0,1.0,0.016591793111057556,0.025,0.0,0.0
11,summer,0,0.0,2.4,0.016591793111057556,0.025,0.0,0.0
11,summer,0,0.1,0.3,0.016591793111057556,0.025,0.05841273568948478,59.06761356803355
11,summer,0,0.1,1.0,0.016591793111057556,0.025,0.05841273568993735,59.06761356803351
11,summer,0,0.1,2.4,0.016591793111057556,0.025,0.05841273568994906,59.06761356803355
11,summer,0,0.3,0.3,0.016591793111057556,0.025,0.0,0.0
11,summer,0,0.3,1.0,0.016591793111057556,0.025,0.14410036073956056,149.80977261429007
11,summer,0,0.3,2.4,0.016591793111057556,0.025,0.14410036073925522,149.8097726142899
11,summer,0,0.5,1.0,0.016591793111057556,0.025,0.20618944272626188,217.3849983440763
11,summer,0,0.5,2.4,0.016591793111057556,0.025,0.20618944272625783,217.38499834407634
11,summer,0,1.0,1.0,0.016591793111057556,0.025,0.0,0.0
11,summer,0,1.0,2.4,0.016591793111057556,0.025,0.3091951332837033,330.96287613600316
12,summer,0,0.0,0.3,0.017662114324289536,0.025,0.0,0.0
12,summer,0,0.0,1.0,0.017662114324289536,0.025,0.0,0.0
12,summer,0,0.0,2.4,0.017662114324289536,0.025,0.0,0.0
12,summer,0,0.1,0.3,0.017662114324289536,0.025,0.06346563765854042,67.5837420697648
12,summer,0,0.1,1.0,0.017662114324289536,0.025,0.06346563765854046,67.58374206976477
12,summer,0,0.1,2.4,0.017662114324289536,0.025,0.06346563765854042,67.5837420697648
12,summer,0,0.3,0.3,0.017662114324289536,0.025,0.0,0.0
12,summer,0,0.3,1.0,0.017662114324289536,0.025,0.1551736382415419,170.725597562408
12,summer,0,0.3,2.4,0.017662114324289536,0.025,0.15517363824154168,170.72559756240798
12,summer,0,0.5,1.0,0.017662114324289536,0.025,0.2211268728568784,247.25188444633935
12,summer,0,0.5,2.4,0.017662114324289536,0.025,0.22112687285686353,247.25188444633932
12,summer,0,1.0,1.0,0.017662114324289536,0.025,0.0,0.0
12,summer,0,1.0,2.4,0.017662114324289536,0.025,0.3302128819103637,375.65692937857074
13,summer,0,0.0,0.3,0.01798929320762044,0.025,0.0,0.0
13,summer,0,0.0,1.0,0.01798929320762044,0.025,0.0,0.0
13,summer,0,0.0,2.4,0.01798929320762044,0.025,0.0,0.0
13,summer,0,0.1,0.3,0.01798929320762044,0.025,0.06507258316890621,70.33024349750372
13,summer,0,0.1,1.0,0.01798929320762044,0.025,0.0650725831689063,70.33024349750374
