point_id,b,S,E,power_factor,k,j_net,b_energy,b_defer,b_arb,b_loss,cost,loss_line_total_mwh,loss_pcs_total_mwh,q_total_mvarh,n_clipped_hours,v_violation,i_violation
P1_old_full_opt,15,0.176,0.419,0.95,0.5,2761055.7028789334,2041999.8109542516,11226728.328945082,1908125.9374695793,133873.87348481436,10507672.4370204,712.7847253029986,1.2163799733347256,0.97008048486195,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.95,0.75,2725573.848276023,2009755.586181831,11223490.699114593,1908125.9374695793,101629.64871218523,10507672.4370204,712.3735541221205,1.8467582137415643,1.455120727292925,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.95,1.0,2688224.566939926,1975799.7363244048,11220097.267635921,1908125.9374695793,67673.79885499846,10507672.4370204,711.9669569911443,2.484276897921329,1.9401609697239,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.95,1.25,2649408.2885883898,1940522.3111342466,11216558.414474543,1908125.9374695793,32396.373664841056,10507672.4370204,711.5647803040762,3.126455899060545,2.425201212154875,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.95,1.5,2609342.9164461233,1904137.6917437485,11212877.661722776,1908125.9374695793,-3988.24572546898,10507672.4370204,711.1669389370493,3.771933654059426,2.91024145458585,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.95,2.0,2525931.2550561093,1828507.7499511861,11205095.942125324,1908125.9374695793,-79618.18751814762,10507672.4370204,710.3840755891075,5.069859150424062,3.8803219394478,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.850241,0.0,2744124.1018178742,2118864.8095336272,11158324.463941047,1963540.4481702694,155324.3613636644,10533065.1716568,945.3412748892123,0.0,0.0,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.850241,0.25,2991205.2354332637,2255288.8319243905,11268981.575165674,1963540.4481702694,291748.38375443657,10533065.1716568,941.6393331338986,2.7767434945139655,2.40078294716043,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.850241,0.5,3188016.8208851963,2372355.319023333,11348726.673518663,1963540.4481702694,408814.8708534939,10533065.1716568,938.0341407542985,5.588266283361879,4.80156589432086,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.850241,0.75,3346849.9634985607,2471059.6027582483,11408855.532397114,1963540.4481702694,507519.15458823123,10533065.1716568,934.5250934019318,8.429054130853011,7.20234884148129,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.850241,1.0,3470596.8168842364,2552208.68420856,11451453.304332476,1963540.4481702694,588668.2360390155,10533065.1716568,931.1116624043004,11.294565313392557,9.60313178864172,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.850241,1.25,3564788.9670258295,2616390.4385297215,11481463.700152908,1963540.4481702694,652849.9903596919,10533065.1716568,927.7934068312354,14.181373496630599,12.00391473580215,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.850241,1.5,3637744.7772394475,2664057.0087239775,11506752.94017227,1963540.4481702694,700516.5605541007,10533065.1716568,924.569941068718,17.08676399667887,14.40469768296258,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.850241,2.0,3721469.128086591,2711284.5281220404,11543249.771621352,1963540.4481702694,747744.0799522924,10533065.1716568,918.4059925987937,22.944501573017668,19.20626357728344,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.95,0.0,2572763.6307381783,2112500.3710901784,10993328.431304801,1963540.6755586537,148959.69553180115,10533065.1716568,713.987631355664,0.0,0.0,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.95,0.25,2488258.457899846,2028204.6339100592,10993118.995646587,1963540.6755586537,64663.958351499765,10533065.1716568,712.7418051699757,1.8255385416269534,1.5619764278063006,0,0.0,0.0
P2_dev_run1,17,0.303,0.404,0.95,0.5,2385161.6553518865,1935379.431203804,10982847.395804882,1963540.6755586537,-28161.244354692324,10533065.1716568,711.5379391659792,3.6667213016911937,3.1239528556126013,0,0.0,0.0
