method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err
pwl,1,P2_dev_run1,shoulder,0,0.04621260073889348,0.1,0.053787399261106525,0.5378739926110652
pwl,1,P2_dev_run1,shoulder,1,3.3183425688836583e-13,0.0,3.3183425688836583e-13,
pwl,1,P2_dev_run1,shoulder,2,0.0,0.0,0.0,
pwl,1,P2_dev_run1,shoulder,3,0.021506870893826087,0.05,0.028493129106173916,0.5698625821234783
pwl,1,P2_dev_run1,shoulder,4,0.0811886053065023,0.0,0.0811886053065023,
pwl,1,P2_dev_run1,shoulder,5,3.027076703566924e-06,0.0,3.027076703566924e-06,
pwl,1,P2_dev_run1,shoulder,6,3.027034848829813e-06,0.0,3.027034848829813e-06,
pwl,1,P2_dev_run1,shoulder,7,3.027074339378757e-06,0.0,3.027074339378757e-06,
pwl,1,P2_dev_run1,shoulder,8,5.351117386549147e-13,0.0,5.351117386549147e-13,
pwl,1,P2_dev_run1,shoulder,9,3.949601589160697e-13,0.0,3.949601589160697e-13,
pwl,1,P2_dev_run1,shoulder,10,0.046187359521357246,0.1,0.05381264047864276,0.5381264047864276
pwl,1,P2_dev_run1,shoulder,11,7.724697394444327e-13,0.0,7.724697394444327e-13,
pwl,1,P2_dev_run1,shoulder,12,3.4881447164233795e-13,0.0,3.4881447164233795e-13,
pwl,1,P2_dev_run1,shoulder,13,3.494439824460087e-13,0.0,3.494439824460087e-13,
pwl,1,P2_dev_run1,shoulder,14,3.498247853784766e-13,0.0,3.498247853784766e-13,
pwl,1,P2_dev_run1,shoulder,15,3.6439930278775835e-13,0.0,3.6439930278775835e-13,
pwl,1,P2_dev_run1,shoulder,16,4.3688711519784393e-13,0.0,4.3688711519784393e-13,
pwl,1,P2_dev_run1,shoulder,17,4.824065216212739e-13,0.0,4.824065216212739e-13,
pwl,1,P2_dev_run1,shoulder,18,4.552462796963262e-13,0.0,4.552462796963262e-13,
pwl,1,P2_dev_run1,shoulder,19,5.139063046548057e-13,0.0,5.139063046548057e-13,
pwl,1,P2_dev_run1,shoulder,20,4.360261834299454e-13,0.0,4.360261834299454e-13,
pwl,1,P2_dev_run1,shoulder,21,3.8559702530113165e-13,0.0,3.8559702530113165e-13,
pwl,1,P2_dev_run1,shoulder,22,3.7508213245196373e-13,0.0,3.7508213245196373e-13,
pwl,1,P2_dev_run1,shoulder,23,4.0025789363750924e-13,0.0,4.0025789363750924e-13,
pwl,1,P3_dev_run0,summer,0,0.17289468149233042,0.15,0.022894681492330426,0.15263120994886953
pwl,1,P3_dev_run0,summer,1,1.5860133569220038e-12,0.0,1.5860133569220038e-12,
pwl,1,P3_dev_run0,summer,2,4.285320862878107e-07,0.0,4.285320862878107e-07,
pwl,1,P3_dev_run0,summer,3,3.076705338690164e-07,0.0,3.076705338690164e-07,
pwl,1,P3_dev_run0,summer,4,1.645616559202417e-07,0.0,1.645616559202417e-07,
pwl,1,P3_dev_run0,summer,5,0.10294891124152432,0.2,0.09705108875847569,0.48525544379237845
pwl,1,P3_dev_run0,summer,6,3.034814332980559e-06,0.0,3.034814332980559e-06,
pwl,1,P3_dev_run0,summer,7,3.038912251330664e-06,0.0,3.038912251330664e-06,
pwl,1,P3_dev_run0,summer,8,1.1323198640247165e-05,0.0,1.1323198640247165e-05,
pwl,1,P3_dev_run0,summer,9,3.7326534834788895e-12,0.0,3.7326534834788895e-12,
pwl,1,P3_dev_run0,summer,10,2.234202005193353e-12,0.0,2.234202005193353e-12,
pwl,1,P3_dev_run0,summer,11,2.2551130620066173e-12,0.0,2.2551130620066173e-12,
pwl,1,P3_dev_run0,summer,12,2.1964888067105918e-12,0.0,2.1964888067105918e-12,
pwl,1,P3_dev_run0,summer,13,2.076667135224042e-12,0.0,2.076667135224042e-12,
pwl,1,P3_dev_run0,summer,14,2.358701860906885e-12,0.0,2.358701860906885e-12,
pwl,1,P3_dev_run0,summer,15,2.033974276318532e-11,0.0,2.033974276318532e-11,
pwl,1,P3_dev_run0,summer,16,0.17278147500423782,0.2,0.02721852499576219,0.13609262497881094
pwl,1,P3_dev_run0,summer,17,3.2586397322741562e-12,0.0,3.2586397322741562e-12,
pwl,1,P3_dev_run0,summer,18,2.7116383946202344e-12,0.0,2.7116383946202344e-12,
pwl,1,P3_dev_run0,summer,19,2.6368418138599404e-12,0.0,2.6368418138599404e-12,
pwl,1,P3_dev_run0,summer,20,2.564546898609945e-12,0.0,2.564546898609945e-12,
pwl,1,P3_dev_run0,summer,21,2.361399138418411e-12,0.0,2.361399138418411e-12,
pwl,1,P3_dev_run0,summer,22,2.7349380907907395e-12,0.0,2.7349380907907395e-12,
pwl,1,P3_dev_run0,summer,23,2.511892082486997e-09,0.0,2.511892082486997e-09,
pwl,1,P3_dev_run0,winter,0,0.17289466542650275,0.15,0.02289466542650276,0.15263110284335174
